30 Jun 2026 | BAN | Shining Dawn (A R Pradeep ) 1-15 600 In 40.5 Good. | (Even) | 1000m | Outer Sand
24 Jun 2026 | BAN | Shining Dawn (J.h.arul ) 45 Freely. | (Even) | 600m | Outer Sand
18 Jun 2026 | BAN | Shining Dawn (A Prakash), Starsinheeyes (J H Arul), Signs Of Change (A R Pradeep ), 1-40 1400 To 600 In 56.5 All Level Jump 6 & 4 Lengths Seperated Them. | (-5) | 1400m | Gate Practice
11 Jun 2026 | BAN | Astraeus (A R Pradeep), Shining Dawn (A Prakash), Starsinheeyes (J H Arul ), 1-37.5 1400 To 600 In 56 Trio Good Jump Dist & 8 Lengths Seperated Them. | (-7) | 1400m | Gate Practice
07 Jun 2026 | BAN | Shining Dawn (J H Arul), Signs Of Change (Sai Kiran ), 45.5 They Level. | (+0) | 600m | Outer Sand
03 Jun 2026 | BAN | Shining Dawn (Sai Kiran), Starsinhereyes (Laxman ), 43 They Moved Well. | (-2) | 600m | Outer Sand
29 May 2026 | BAN | Transformative (Saqlain S), Shining Dawn (Akshay Kumar ), 43.5 They Level. | (-1) | 600m | Outer Sand
14 May 2026 | BAN | Detective Conan (Laxman), Shining Dawn (J H Arul ), 43.5 They Moved Well. | (-1) | 600m | Outer Sand
10 May 2026 | BAN | Astraeus (J H Arul), Shining Dawn (Sai Kiran ), 44.5 They Level. | (+0) | 600m | Outer Sand
27 Jun 2026 | BAN | Darringer (Arvind Kumar N), Fortissima (Pavan ), 1-26.5 1000 In 1-12 600 In 43 Former 4 Lengths Ahead. | (-3) | 1200m | Outer Sand
20 Jun 2026 | BAN | Fortissima (Arvind Kumar N), Darringtion (Pavan ), 1-28.5 1000 In 1-14 600 In 43.5 They Level. | (-1) | 1200m | Outer Sand
15 Jun 2026 | BAN | Night Raider (Rb), Fortissima (Rb ), 1-45 1400 To 600 In 57 Former 2 Lengths Ahead. | (Even) | 1400m | Outer Sand
01 Jun 2026 | BAN | Black Irish (Pavan), Fortissima (Rozario ), 1-43.5 1200 In 1-27 1000 In 1-13 600 In 45 They Moved Well. | (-1) | 1400m | Outer Sand
26 May 2026 | BAN | Darringer (Arvind Kumar N), Fortissima (Rozario ), 1-25 1200 To 600 In 43.5 They Jumped Out Well. | (-5) | 1200m | Gate Practice
23 May 2026 | BAN | Potenza (J H Arul), Fortissima (Rozario ), 1-28.5 1000 In 1-14 600 In 44.5 Former 6 Lengths Ahead. | (-1) | 1200m | Outer Sand
20 May 2026 | BAN | Fortissima (Pavan), Potenza (Arvind Kumar N ), 1-31.5 1200 To 600 In 49.5 They Jumped Out Well. | (+1) | 1200m | Gate Practice
12 May 2026 | BAN | A Great Buzz (Pavan), Fortissima (Rozario ), 1-24 1200 To, 600 In 41 Level Jump And Former 8 Lengths Ahead. | (-6) | 1200m | Gate Practice
05 May 2026 | BAN | Fortissima (Rozario), Bay View (Arvind Kumar N ), 1-33 1200 To 600 In 47 Former Slow Jump And Finished Level. | (+3) | 1200m | Gate Practice
28 Apr 2026 | BAN | Kiss N Tell (Arvind Kumar), Fortissima (L.A. Rozario ), 1-29 1000/1-14.5 600/46 They level. | (-1) | 1200M | Outer Sand
25 Jun 2026 | BAN | Jade Mountain (R Vaibhav), Garzian (V R Jagadeesh ), 43 They Moved Well. | (-2) | 600m | Outer Sand
07 Jun 2026 | BAN | Garzian (Hindu Singh), Breeze Bluster (Suhas.K ), 1-11 600 In 44 Former 4 Lengths Ahead. | (-4) | 1000m | Outer Sand
20 May 2026 | BAN | Jade Mountain (Trevor Patel), Garzian (V R Jagadeesh ), 1-13.5 600 In 41 Former Better. | (-1) | 1000m | Outer Sand
11 May 2026 | BAN | Garzian (Suhas.K ) 43 Stretched. | (-2) | 600m | Outer Sand
14 Apr 2026 | BAN | Smooth Ranger (A Ramu), Garzian (Jagadeesh), Personal Legend (Chetan Kalay ), 1-22 From 1200 To 600 In 39 All Level Jump 6 & 8 Length Separated Them. | (-8) | 1200m | Gate Practice
07 Apr 2026 | BAN | Garzian (Jaggadeesh ) 1-29 From 1200 to 600 in 44 Good jump. | (-1) | 1200M | Gate Practice
24 Mar 2026 | BAN | Jade Mountain (Suhas K), Garzian (Jagadeesh ), 46 They were easy level. | (+1) | 600M | Outer Sand
17 Mar 2026 | BAN | Ziva (Suhas K), Garzian (V R Jagadeesh ), 44.5 They Level. | (+0) | 600m | Outer Sand
30 Jun 2026 | BAN | Mystic Dew (Bhawani Singh ) 43.5 Stretched. | (-1) | 600m | Outer Sand
25 Jun 2026 | BAN | Mystic Dew (Neeraj Rawal), Dasadyu (Bhawani Singh ), 45 Former 8 Lengths Ahead. | (Even) | 600m | Outer Sand
18 Jun 2026 | BAN | Mystic Dew (Bhawani Singh), Dasadyu (Vishal Bunde ), 42.5 They Moved Well. | (-2) | 600m | Outer Sand
12 May 2026 | BAN | Mystic Dew (Antony Raj), Star Comet (Rayan Ahmed ), 1-13 600 In 43 Former Better. | (-2) | 1000m | Outer Sand
05 May 2026 | BAN | Dasadyu (Rayan Ahmed), Mystic Dew (A R Pradeep ), 1-14 600 In 43 They Moved Well. | (-1) | 1000m | Outer Sand
22 Apr 2026 | BAN | Mystic Dew (Rayan Ahmed), Dasadyu (Md Ashraf R ), 1-30 1000/1-14 600/44.5 Former Started 3 Length Behind And Finished A Length Ahead. | (Even) | 1200m | Outer Sand
07 Apr 2026 | BAN | Mystic Dew (A.R.Pradeep), Dasadyu (G.Praveen), 1-25 From 1200 to 600 in 42 level jump and Former finished 3 length ahead. | (-5) | 1200M | Gate Practice
24 Mar 2026 | BAN | Sprezzatura (Md.Ashraf R), Mystic Dew (R.B. ), 45 Pair level. | (Even) | 600M | Outer Sand
27 Jun 2026 | BAN | On The Rise (Rb ) 1-16 600 In 46 Handy. | (+1) | 1000m | Outer Sand
26 Jun 2026 | BAN | Alamgir (Rozario), On The Rise (Pavan ), 1-31 1000 In 1-16 600 In 45.5 Former 3 Lengths Ahead. | (+1) | 1200m | Outer Sand
14 Jun 2026 | BAN | On The Rise (Pavan), Victor Hugo (Rozario ), 1-42 1200 In 1-27. 1000 In 1-13.5 600 In 44 They Moved Together. | (-3) | 1400m | Outer Sand
09 Jun 2026 | BAN | On The Rise (Pavan), Darringer (Arvind Kumar N ), 1-28 1200 To 600 In 40 They Were Easedup. | (-2) | 1200m | Outer Sand
01 Jun 2026 | BAN | On The Rise (Pavan), Sapporo (Rozario ), 1-43 1200 In 1-28.5 1000 In 1-15 600 In 46 They Level. | (-2) | 1400m | Outer Sand
16 May 2026 | BAN | On The Rise (Pavan), Zephyrine (Arvind Kumar N ), 1-28.5 1000 In 1-14 600 In 43.5 They Moved Well. | (-1) | 1200m | Outer Sand
10 May 2026 | BAN | Miracle Star (Suraj Narredu), On The Rise (Pavan), Gallon Of My Love (Kiran Rai P), Mister Brown (Rozario), Count Basie (M Rajesh Kumar ), 1-29.46m 23 1/2,8 & 3 1/4 1st Named Impressed And Last Named Planted At Gate. | (-15) | 1400m | Mock Race
05 May 2026 | BAN | Exotic Black (Rozario), On The Rise (Pavan ), 1-24.5 1000 In 1-11 600 In 43.5 Former 5 Lengths Ahead. | (-5) | 1200m | Outer Sand
28 Apr 2026 | BAN | Victoria Doresaani (L.A. Rozario), On The Rise (Pavan), 1-23.5 From 1200 to 600 in 40.5 Level jump and Former finished 6 lengths ahead. | (-6) | 1200M | Gate Practice
21 Apr 2026 | BAN | On The Rise (Pavan), Bay View (Arvind Kumar), 1-27.5 From 1200 to 600 in 47 Former finished well. | (-2) | 1200M | Gate Practice
14 Apr 2026 | BAN | Exotic Black (L A Rozario), On The Rise (Pavan), 1-27 From 1200 To 600 In 45.5 Former Finished 4 Lengths Ahead. | (-3) | 1200m | Gate Practice
11 Apr 2026 | BAN | Exotic Black (L.A.Rozario), On The Rise (Pavan ), 1-15.5 600/45 Pair level and easy. | (+0) | 1000M | Outer Sand
07 Apr 2026 | BAN | On The Rise (Pavan), Exotic Black (L.A.Rozario), 1-30 From 1200 to 600 in 48 level jump and Former finished 2 length ahead. | (Even) | 1200M | Gate Practice
31 Mar 2026 | BAN | On The Rise (Pavan), Exotic Black (L.A.Rozario ), 1-29.5 1000/1-14.5 600/45 They were handy and level. | (+0) | 1200M | Outer Sand
25 Mar 2026 | BAN | On The Rise (Pavan), Exotic Black (L A Rozario ), 1-30 1000/1-14.5 600/45 They Level. | (Even) | 1200M | Outer Sand
27 Jun 2026 | BAN | Wanganui (Aleemuddin), Yarra Yarra (Antony Raj ), 1-11.5 600 In 42.5 They Worked Well. | (-3) | 1000m | Outer Sand
20 Jun 2026 | BAN | Yarra Yarra (Antony Raj ) 1-12 600 In 43 Extended. | (-3) | 1000m | Outer Sand
17 Mar 2026 | MUM | Wangnui (Ritesh), Yarra Yarra (Umesh ), 52 600 39, Latter started 2Ls behind & finished level. | (-8) | 800M | Inner Sand
