16 Jun 2026 | BAN | Imperador (Vishal Bunde ) 1-36 1200 In 1-21.5 1000 In 1-8 600 In 41 Moved Well. | (-9) | 1400m | Inner Sand
22 Jul 2026 | BAN | Agrima (S Guruprasad ) 39.5 Stretched. | (-5) | 600m | Inner Sand
08 Jul 2026 | BAN | Agrima (S Guruprasad ) 39.5 Retains Form. | (-5) | 600m | Inner Sand
09 Jun 2026 | BAN | Agrima (S Guruprasad ) 1-22 1200 To 600 In 41 Good Jump. | (-8) | 1200m | Gate Practice
05 May 2026 | BAN | Agrima (S Guruprasad ) 1-23.5 1200 To 600 In 40 Jumped Out Well. | (-6) | 1200m | Gate Practice
18 Apr 2026 | BAN | Agrima (R.N.Darshan), Knightsbridge (Shreyas S), Pole Star (R.Girish), Glaze (RajeshKumar), Sai Princess (Jagadeesh), Estelle (Antony Raj), Ebotse (Aleemuddin), 1-15.24 won by :- 31/4, Nose, 43/4, 33/4, 11/2, 11/4. First named impressed. | (-14) | 1200M | Mock Race
18 Jul 2026 | BAN | Yarra Yarra (Antony Raj ) 1-38.5 1200 In 1-25 1000 In 1-11.5 600 In 43 Retains Form. | (-6) | 1400m | Outer Sand
27 Jun 2026 | BAN | Wanganui (Aleemuddin), Yarra Yarra (Antony Raj ), 1-11.5 600 In 42.5 They Worked Well. | (-3) | 1000m | Outer Sand
20 Jun 2026 | BAN | Yarra Yarra (Antony Raj ) 1-12 600 In 43 Extended. | (-3) | 1000m | Outer Sand
17 Jul 2026 | BAN | Shutterfly (Shreyas Singh), Exceed (Indrajeet ), 1-37.5 1200 In 1-22.5 1000 In 1-9 600 In 42 Former Impressed And Finished 5 Lengths Infront. | (-7) | 1400m | Outer Sand
09 Jul 2026 | BAN | Shutterfly (Trevor ) 1-26 1000/1-12 600/43 Worked Well. | (-4) | 1200m | Outer Sand
12 Jun 2026 | BAN | Shutterfly (A Sandesh ) 1-38.5 1200 In 1-24 1000 In 1-10 600 In 42 Impressed. | (-6) | 1400m | Outer Sand
06 Jun 2026 | BAN | Shutterfly (Shreyas Singh ) 1-26 1000 In 1-11 600 In 43.5 Improved. | (-4) | 1200m | Outer Sand
14 May 2026 | BAN | Shutterfly (Trevor Patel), Larissa (Indrajeet ), 1-40 1200 In 1-24 1000 In 1-9 600 In 43.5 They Worked Well. | (-5) | 1400m | Outer Sand
06 May 2026 | BAN | Scent Of Rain (Indrajeet), Shutterfly (Trevor Patel ), 1-26 1000 In 1-11 600 In 43.5 They Moved Together. | (-4) | 1200m | Outer Sand
21 Apr 2026 | BAN | Shutterfly (P.Trevor ) 1-13 600/43.5 Moved well. | (-2) | 1000M | Outer Sand
12 Apr 2026 | BAN | Frederika (R.B ) 45 Easy. | (Even) | 600m | Outer Sand
22 Jul 2026 | BAN | Sassy (Kiran Rai P ) 1-9 600 In 38.5 Stretched Out Well. | (-6) | 1000m | Inner Sand
04 Jul 2026 | BAN | Sassy Sarah (R Girish), Valor Queen (G.Vivek ), 1-11.5 600 In 43 They Moved Well. | (-3) | 1000m | Outer Sand
08 Jun 2026 | BAN | Pearl Star (Akshay Kumar), Sassy Sarah (G.Vivek ), 1-26 1000 In 1-12 600 In 43 Former 5 Lengths Ahead. | (-4) | 1200m | Outer Sand
03 May 2026 | BAN | Sassy Sarah (Akshay Kumar ) 1-13 600 In 43.5 Good. | (-2) | 1000m | Outer Sand
28 Apr 2026 | BAN | Sassy Sarah (S.Shareef ) 43 Moved well. | (-2) | 600M | Outer Sand
20 Apr 2026 | BAN | Sassy Sarah (S.Shareef ) 1-14.5 600/44.5 Freely. | (+0) | 1000M | Outer Sand
11 Apr 2026 | BAN | Sassy Sarah (S.Shareef ) 43.5 Moved well. | (-1) | 600M | Outer Sand
06 Apr 2026 | BAN | Sassy Sarah (S.Shareef ) 44.5 Pushed. | (+0) | 600M | Outer Sand
12 May 2026 | BAN | Shahenshaah (Rb ) 1-12.5 600 In 43.5 Extended. | (-2) | 1000m | Outer Sand
