18 Jul 2026 | BAN | Darringer (Pavan), Bellucci (Arvind Kumar N ), 1-25.5 1000 In 1-11 600 In 43 They Moved Well. | (-4) | 1200m | Outer Sand
27 Jun 2026 | BAN | Darringer (Arvind Kumar N), Fortissima (Pavan ), 1-26.5 1000 In 1-12 600 In 43 Former 4 Lengths Ahead. | (-3) | 1200m | Outer Sand
21 Jun 2026 | BAN | Encino (Aleemuddin), Golden Hues (Aditya Waydande), Old Fashioned (Ramswarup), Victor Hugo (Anish Hangal), Darringer (Pavan ), 1-21.06 Won By:10,Lnk,6,10 3/4 1st Named Impressed And Last Named Watch Throughout Handy. | (-15) | 1300m | Mock Race
16 Jun 2026 | BAN | Darringer (Arvind Kumar N), Bay View (Pavan ), 1-26.5 1200 To 600 In 45 Level Jump And Former 2 Lengths Ahead. | (-3) | 1200m | Gate Practice
09 Jun 2026 | BAN | On The Rise (Pavan), Darringer (Arvind Kumar N ), 1-28 1200 To 600 In 40 They Were Easedup. | (-2) | 1200m | Outer Sand
26 May 2026 | BAN | Darringer (Arvind Kumar N), Fortissima (Rozario ), 1-25 1200 To 600 In 43.5 They Jumped Out Well. | (-5) | 1200m | Gate Practice
20 May 2026 | BAN | Hyperdrive (Pavan), Darringer (Arvind Kumar N ), 1-30.5 1200 To 600 In 46 Level Jump And Level. | (+0) | 1200m | Gate Practice
12 May 2026 | BAN | Darringer (Pavan), Hyperdrive (Rozario ), 1-30 1000 In 1-15, 600 In 46.5 Former 5 Lengths Ahead. | (Even) | 1200m | Outer Sand
21 Jul 2026 | BAN | Iron Flame (Antony Raj ) 1-28 1000 In 1-13 600 In 42.5 Stretched Out Well. | (-2) | 1200m | Outer Sand
14 Jul 2026 | BAN | Iron Flame (Antony Raj), Martanda (Rayan Ahmed ), 1-21.5 1200 To 600 In 40 Level Jump And Former 5 Lengths Ahead. | (-8) | 1200m | Gate Practice
11 Jul 2026 | BAN | Iron Flame (P Mani ) 44 Stretched. | (-1) | 600m | Outer Sand
10 Jul 2026 | BAN | Iron Flame (P Mani ) 45 Freely. | (Even) | 600m | Outer Sand
29 May 2026 | BAN | Iron Flame (Antony Raj ) 1-10 600 In 43 Good. | (-5) | 1000m | Outer Sand
20 May 2026 | BAN | Iron Flame (Antony Raj), Southernaristocrat (Rayan Ahmed ), 1-26.5 1200 To 600 In 40 Level Jump And Former 8 Lengths Ahead. | (-3) | 1200m | Gate Practice
16 May 2026 | BAN | Iron Flame (P Mani ) 1-43.5 1200 In 1-28.5 1000 In 1-14 600 In 44 Moved Well. | (-1) | 1400m | Outer Sand
12 May 2026 | BAN | Iron Flame (Antony Raj ) 1-15 600 In 44 Extended. | (Even) | 1000m | Outer Sand
