 **1. HEAD-TO-HEAD**

| Race Date | Venue | Dist | Context | Result (Today's runners) | Margin / Notes |
|-----------|-------|------|---------|--------------------------|----------------|
| 2026-07-11 | Bangalore | 1200m | RATED 40-65 | **INVINCIBLE** (5th) beat **GODDESS OF WAR** (8th) and **JOONDALUP** (6th) | INV finished best of the trio after settling 8th at the 4f marker; GOW never threatened after settling 6th. Trip, class and going identical to today. |
| 2026-07-05 | Bangalore | 1200m | RATED 40-65 | **INVINCIBLE** (6th) beat **STEFFEN** (9th) | INV closed from 8th at the 4f to 6th; STEFFEN faded from 3rd at the 4f. |
| 2026-07-05 | Bangalore | 1200m | – | **INVINCIBLE** (6th) vs **THESSALIAN** (W) / **STEFFEN** (9th) vs **THESSALIAN** (W) | THESSALIAN withdrawn — run excluded entirely from form. |
| 2026-06-20 | Bangalore | 1400m | RATED 40-65 | **VALIANT STREAM** (5th) beat **GODDESS OF WAR** (9th) | VS sat 2nd early; GOW led at the 1.5f then weakened. VS had a slowly-away flag this day yet still outran GOW. |
| 2026-05-09 | Bangalore | 1300m | RATED 40-65 | **THESSALIAN** (4th) beat **INVINCIBLE** (7th) and **KISS OF GREY** (8th) | THESSALIAN best of the three on a trip 100m longer than today. |
| 2026-05-03 | Bangalore | 1200m | RATED 40-65 | **SMALL DREAMS** (6th) beat **INVINCIBLE** (11th) | Both were well beaten; SMALL DREAMS was far less tardy. |
| 2025-11-29 | Bangalore | 1100m | RATED 40-65 | **THESSALIAN** (2nd) beat **GODDESS OF WAR** (7th) | THESSALIAN 2nd at level weights; GOW never threatened after settling 6th. |
| 2025-11-01 | Bangalore | 1200m | MAIDEN | **ZEPHYRINE** (4th) beat **STEFFEN** (5th) | NZ beaten less than a length in a maiden; both have improved since. |
| 2025-10-09 | Mysore | 1400m | MAIDEN | **GODDESS OF WAR** (1st) beat **VALIANT STREAM** (7th) | GOW won by a wide margin on a different track; VS was a maiden. |

**Implication:** INVINCIBLE has the clearest recent H2H edge over GOW and JOONDALUP (11-Jul-1200). SMALL DREAMS has also finished ahead of INVINCIBLE at the trip. THESSALIAN held the measure of INVINCIBLE and KISS OF GREY at 1300m earlier in the season.

---

**2. RUNNING STYLES**

**Classifications**
- **Front-runners:** KISS OF GREY, STEFFEN
- **Stalkers / Pressers:** SMALL DREAMS, JOONDALUP, VALIANT STREAM, THESSALIAN
- **Mid-field Closers:** ZEPHYRINE, GODDESS OF WAR
- **Deep Closers:** INVINCIBLE, LASYA

**Likely Pace Scenario**
SMALL DREAMS (1), JOONDALUP (2) and KISS OF GREY (3) all possess gate speed and draw inside. KISS OF GREY prefers to lead, while SMALL DREAMS likes to sit 2nd/3rd. JOONDALUP can either lead or box-seat. STEFFEN (6) will have to burn energy from an outside gate to lead, inviting pressure. INVINCIBLE (9) and VALIANT STREAM (10) are drawn wide and will settle towards the rear. With at least three earnest speed horses inside and a front-runner in STEFFEN pushing across from mid-draw, the pace should be **genuine to strong**. No-whip conditions favour the tractable stalkers (SMALL DREAMS, JOONDALUP, ZEPHYRINE) over deep closers who need heavy urging to thread through late traffic (INVINCIBLE, LASYA).

**Key Runs (most recent first)**

*GODDESS OF WAR* — Mid-field closer / beneficiary of hard pace. Not a lead horse; SLOWLY AWAY on 20-Jun-2026 downgrades any front-running thought. Gate impact: Drawn 8 today versus 4 last time — farther back than ideal; likely to settle worse than midfield and encounter traffic.
- 09-Oct-2025 | 1400m | Pos:1 | Odds:4/10 | Draw:? | [TOTE FAV] MAIDEN
- 31-Jul-2025 | 1400m | Pos:2 | Odds:13/10 | Draw:? | [TOTE FAV] Settled second at one and seven furlongs before making a late surge to
- 29-Nov-2025 | 1100m | Pos:7 | Odds:11/4 | Draw:5 | [TOTE FAV] Settled sixth until the final bend before making late headway, ultimat
- 20-Jun-2026 | 1400m | Pos:9 | Odds:9 | Draw:10 | Led at 1.5 furlongs before making late headway to finish ninth, beaten
- 15-Nov-2025 | 1200m | Pos:1 | Odds:50/100 | Draw:4 | [TOTE FAV] Settled well throughout to win by a decisive margin of five and a quar
- 11-Jul-2026 | 1200m | Pos:8 | Odds:12 | Draw:4 | Settled sixth until the final bend before making late headway, ultimat

*INVINCIBLE* — Deep closer. Recurrent AWKWARD_JUMP flags (22-Nov-2025, 14-Mar-2025) and a generally tardy opening 200m mean he must be treated as a poor beginner. Needs a genuinely strong pace to weave through late. Gate impact: Drawn 9 today versus 6 last time; similar wide alley to recent starts and he has coped before, but he is vulnerable to being buried wide on the turn.
- 25-Oct-2025 | 1600m | Pos:W | Odds:? | Draw:? | WITHDRAWN — exclude from form
- 05-Sep-2025 | 1400m | Pos:7 | Odds:10 | Draw:? | Settled seventh approaching the final bend before weakening, ultimatel
- 31-May-2026 | 1400m | Pos:4 | Odds:20 | Draw:1 | Led at two furlongs before making late headway to finish fourth, beate
- 31-May-2025 | 1400m | Pos:8 | Odds:20 | Draw:? | Settled third at three furlongs before making late headway to finish e
- 29-Nov-2025 | 1300m | Pos:12 | Odds:9/4 | Draw:9 | [TOTE FAV] Settled eighth at four furlongs before making late headway, ultimately
- 29-Jun-2025 | 1400m | Pos:11 | Odds:20 | Draw:? | Finished sixth at the turn before being outpaced in the final bend, ul
- 27-Jul-2025 | 1200m | Pos:10 | Odds:20 | Draw:? | Settled tenth at two furlongs before being outpaced in the final stage
- 25-Jan-2025 | 1200m | Pos:1 | Odds:55/100 | Draw:? | [TOTE FAV] Settled sixth until the final bend before making late headway to finis
- 24-May-2025 | 1200m | Pos:7 | Odds:20 | Draw:? | (no description)
- 23-May-2026 | 1400m | Pos:10 | Odds:20 | Draw:10 | Finished tenth, made late headway to finish 22.5 lengths behind the wi
- 22-Nov-2025 | 1200m | Pos:4 | Odds:15 | Draw:5 | Settled fourth throughout before making late headway to finish fourth,
- 20-Jun-2026 | 1400m | Pos:11 | Odds:12 | Draw:9 | Led at two furlongs before making late headway to finish eleventh, bea
- 19-Jul-2026 | 1400m | Pos:2 | Odds:5 | Draw:1 | Settled fourth until the final bend before made late headway to finish
- 15-Jun-2025 | 1400m | Pos:3 | Odds:25 | Draw:? | Settled third at the 300m mark before making late headway to finish th
- 15-Feb-2025 | 1100m | Pos:1 | Odds:18/10 | Draw:? | Settled third at two furlongs before surging ahead to take the lead an
- 14-Mar-2025 | 1200m | Pos:1 | Odds:11/4 | Draw:? | Settled fourth until the final bend before making a resolute surge to
- 12-Jul-2025 | 1600m | Pos:6 | Odds:20 | Draw:? | Settled sixth at two furlongs before making late headway to finish sev
- 11-Jul-2026 | 1200m | Pos:5 | Odds:20 | Draw:6 | Improved from eighth at four furlongs to seventh at the turn before ma
- 09-Nov-2025 | 1400m | Pos:8 | Odds:20 | Draw:10 | Settled eighth until the final bend before dropping back, ultimately f
- 09-May-2026 | 1300m | Pos:7 | Odds:20 | Draw:2 | Settled fifth approaching the final bend before making late headway to
- 08-Mar-2025 | 1400m | Pos:5 | Odds:12 | Draw:? | Settled fourth at four furlongs before making late headway to finish f
- 07-Feb-2025 | 1400m | Pos:3 | Odds:14/10 | Draw:? | [TOTE FAV] (no description)
- 05-Jul-2026 | 1200m | Pos:6 | Odds:20 | Draw:2 | Settled eighth at four furlongs before making late headway to finish s
- 03-May-2026 | 1200m | Pos:11 | Odds:20 | Draw:6 | Settled ninth until the final bend before dropping back, ultimately fi
- 01-Nov-2025 | 1200m | Pos:6 | Odds:30 | Draw:5 | Settled sixth until the final bend before making late headway to finis

*JOONDALUP* — Stalker / tactical speed. Can dominate from the front (12-Oct-2025) but recent pattern is 4th-5th early then close. Gate impact: Drawn 2 today versus 1 last time; still inside with a path advantage at Bangalore. Favoured by no-whip conditions because he is handy and tractable.
- 21-Sep-2025 | 1100m | Pos:10 | Odds:7 | Draw:? | Settled seventh at four furlongs, made late headway to finish ninth at
- 12-Oct-2025 | 1200m | Pos:1 | Odds:15 | Draw:? | Won in a decisive display, "(R 39-50) dominated from start to finish,
- 28-Dec-2025 | 1200m | Pos:2 | Odds:7 | Draw:? | Settled fifth approaching the final bend before making late headway to
- 22-Feb-2026 | 1200m | Pos:5 | Odds:11/2 | Draw:? | (no description)
- 21-Mar-2026 | 1400m | Pos:2 | Odds:15 | Draw:? | Settled second at two furlongs before making late headway to finish se
- 13-Jan-2025 | 1200m | Pos:1 | Odds:18/10 | Draw:? | [TOTE FAV] (no description)
- 02-Mar-2025 | 1200m | Pos:6 | Odds:11 | Draw:? | (no description)
- 28-Jun-2025 | 1200m | Pos:4 | Odds:15 | Draw:? | (no description)
- 11-Jul-2026 | 1200m | Pos:6 | Odds:12 | Draw:1 | Settled fourth at four furlongs, made late headway to finish sixth, be

*KISS OF GREY* — Front-runner. Wins have been wire-to-wire at 1500–1600m. Only 1200m run (08-Mar-2025 Open) she settled 8th and improved to 6th — too short or too hot. Gate impact: Drawn 3 today is inside and ideal for leading, but she is unproven at this trip against speed horses.
- 26-Sep-2025 | 1600m | Pos:9 | Odds:10 | Draw:? | Settled second until the final bend before making late headway to fini
- 26-Jul-2025 | 1500m | Pos:1 | Odds:7/4 | Draw:? | [TOTE FAV] Led from start to finish, this horse dominated the field, making a dec
- 22-Jun-2025 | 1600m | Pos:1 | Odds:10 | Draw:? | Led from the front to win by a decisive 1.25 lengths, establishing dom
- 15-Feb-2025 | 1600m | Pos:W | Odds:? | Draw:? | (WITHDRAWN — exclude from form)
- 13-Jun-2026 | 1600m | Pos:7 | Odds:20 | Draw:8 | Settled sixth until the final bend before making late headway, ultimat
