horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,10,VALIANT STREAM,Fiero(JPN),Tigris,1-3-1-5-3.,4y,b,c,"Mr Pallon S Mistry rep. Manjri Horse Breed's Farm Pvt Ltd & M/s DT Racing & Breeding LLP, Dr Ram H Shroff & Mr Raj H Shroff rep. Stride Livestock Pvt Ltd",S S Attaollahi,Akshay Kumar,60.0,,,,,TS-CNB,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
2,2,JOONDALUP,Dreamfield(GB),Kirkwood,1-2-5-2-6.,4y,b,f,Mr & Mrs Dilip Thomas rep. Rajagiri Rubber & Produce Co. Ltd,Arjun Mangalorkar,Aleemuddin,59.0,-2.5,,,,,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
3,9,INVINCIBLE,Win Legend(JPN),Aerona,4-11-6-5-2.,6y,ch,g,Mr B K Reethan,V Narayana Gowda,P Kiran Rai,56.5,,,,,TS-HOOD,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
4,1,SMALL DREAMS,Planetaire(GB),Marietta,2-6-3-3-5.,5y,b,h,"Mr Vikram Sreeram, Mrs Sandhya Sreeram, Mr Sandeep C Raghuram & Mr V Srinivasa Murthy & Mr Kiran Gowda & Mr C N Shashikiran & Dr T S Ravindra M/S. Cherie Sports Pvt Ltd",M P Vishesh,Anish Hangal,56.5,-5.0,,,,,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
5,4,THESSALIAN,Gusto(GB),Time Square,1-4-2-4-5.,4y,b,g,Mr Rajendran rep. Rapar's Galloping Stars LLP & Mr Sp. Thirunavukkarasu,Prasanna Kumar,P Trevor,56.5,,,,,TS-HOOD,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
6,7,ZEPHYRINE,Sanus Per Aquam(IRE),Matchless,4-1-1-8-6.,4y,b,f,Mr Arun Alagappan rep. Arun Alagappan Racing LLP,Irfan Ghatala,Pavan,56.5,-2.5,,,,TS,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
7,6,STEFFEN,Gusto(GB),Queen Of Turf,5-2-1-1-9.,4y,b,f,Mr P Arun Kumar,S John,S Sachin,56.0,-5.0,,,,HOOD,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
8,8,GODDESS OF WAR,Ampere(FR),La Femme Fleur,1-1-7-9-8.,4y,dkb,f,"Dr C A Prashanth, Mr P Prasanna Kumar, Mr K Manoj Kumar, Mr H J Balram, Mr K Harish Nayak, Mr Satish G Kundapur & Dr Arvind M N",Prasanna Kumar,Arul J H,55.5,,,,,TS-HOOD,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
9,3,KISS OF GREY,Akeed Champion(GB),Silver Cruise,1-8-9-8-7.,4y,gr,f,"Mr Rajendran rep. Rapar's Galloping Stars LLP, Mr B P Devaraja, Mr Teja Gollapudi & Mr S Narredu",Satish Narredu,Saurav Rawat,55.5,-5.0,,,,TS,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
10,5,LASYA,Saamidd(GB),Babushka,6-6-6-3-1.,4y,b,f,Mr M Kapil Dev,Aravind Ganapathy,Neeraj Rawal,55.5,,,,,TS-HD,2,The Lumbini Stud Plate Div-2,"Class 3 / Horses Rated 40 to 65, 4 Years Old and Over",1200 M,02:30 PM,Winner:₹.315015 Second:₹.157495 Third:₹.94495 Fourth:₹.36540 Fifth:₹.17640 Sixth:₹.8815 Total:₹.630000,
