02 Jul 2026 | BAN | Valiant Stream (Akshay Kumar ) 1-38 1200/1-22.5 1000/1-9 600/42 Impressed. | (-7) | 1400M | Outer Sand
12 Jun 2026 | BAN | Valiant Stream (Akshay Kumar ) 1-23.5 1000 In 1-10.5 600 In 43 Impressed. | (-6) | 1200m | Outer Sand
23 May 2026 | BAN | Valiant Stream (Akshay Kumar ) 1-11 600 In 42.5 Good. | (-4) | 1000m | Outer Sand
02 May 2026 | BAN | Valiant Stream (Akshay Kumar ) 1-37 1200 In 1-22 1000 In 1-9 600 In 43 In Fine Display. | (-8) | 1400m | Outer Sand
20 Apr 2026 | BAN | Valiant Stream (AkshayKumar ) 1-39 1200/1-23 1000/1-9 600/41.5 Worked well. | (-6) | 1400M | Outer Sand
14 Apr 2026 | BAN | Valiant Stream (Indrajeet S ) 1-42.5 1200/1-25.5 1000/1-10.5 600/42.5 Worked Impressively. | (-2) | 1400m | Outer Sand
13 Apr 2026 | BAN | Valiant Stream (Indrajeet S ) 45.5 Easy. | (+0) | 600m | Outer Sand
06 Apr 2026 | BAN | Valiant Stream (Indrajeet S ) 1-12 600/42.5 Good. | (-3) | 1000M | Outer Sand
06 Jul 2026 | BAN | Majestic Legacy (Antony Raj), Joondalup (Aleemuddin ), 1-20 1000 In 1-5.5 600 In 38 Former 4 Lengths Ahead. | (-10) | 1200m | Outer Grass
14 Jul 2026 | PUN | Invincible Force (Yash), Timeless Fortune (S.J.Sunil ), 54 600 39, Former started 2Ls behind & easily finished 5Ls ahead. | (-6) | 800M | Inner Sand
10 Jul 2026 | PUN | Invincible Force (S.J.Sunil), Heaven's Rhythm (Peter ), 1-06 800 51, 600 39, Level jump, former finished well clear. | (-9) | 1000M | Gate Practice
28 Jun 2026 | PUN | Invincible Force (S.J.Sunil), Golden Heart (Gore ), 53 600 39 Former trounced latter. | (-7) | 800M | Inner Sand
09 Jun 2026 | BAN | Small Dreams (A R Pradeep), Wakizashi (Mukesh ), 1-24.5 1200 To 600 In 40.5 Level Jump And Former 4 Lengths Ahead. | (-5) | 1200m | Gate Practice
14 May 2026 | BAN | Small Dreams (Vishwa V ) 1-36 1400 To 600 In 53 Good Jump. | (-9) | 1400m | Gate Practice
16 Jul 2026 | BAN | Thessalian (R.Girish), Legacy Field (Shareef ), 1-23 1000/1-7 600/39 Former 3 Lengths Ahead. | (-7) | 1200m | Inner Sand
26 May 2026 | BAN | Thessalian (Trevor Patel), Edmonton (G.vivek ), 1-11 600 In 43 Former Started 2 Lengths Behind And Finished 4 Lengths Ahead. | (-4) | 1000m | Outer Sand
24 May 2026 | BAN | Thessalian (G.Vivek ) 44.5 Stretched. | (+0) | 600m | Outer Sand
16 May 2026 | BAN | Ark Emperor (Trevor Patel), Thessalian (Shamaz Shareef ), 43.5 They Level. | (-1) | 600m | Outer Sand
01 May 2026 | BAN | Thessalian (Shareef), Knotty Charmer (Chethan Kalay ), 46 They Level. | (+1) | 600m | Outer Sand
15 Apr 2026 | BAN | Thessalian (R.B. ) 1-7 600/39.5 Good. | (-8) | 1000M | Inner Sand
30 Jun 2026 | BAN | Zephyrine (Pavan ) 1-44 1200 In 1-29.5 1000 In 1-14.5 600 In 45 Extended. | (-1) | 1400m | Outer Sand
27 Jun 2026 | BAN | Zephyrine (Rb ) 1-43.5 1200 In 1-29 1000 In 1-14 600 In 47 Easedup. | (-1) | 1400m | Outer Sand
20 Jun 2026 | BAN | A Great Buzz (Pavan), Zephyrine (Arvind Kumar N ), 1-25 1000 In 1-12 600 In 45.5 Former Better. | (-5) | 1200m | Outer Sand
16 May 2026 | BAN | On The Rise (Pavan), Zephyrine (Arvind Kumar N ), 1-28.5 1000 In 1-14 600 In 43.5 They Moved Well. | (-1) | 1200m | Outer Sand
09 May 2026 | BAN | Zakharova (Pavan), Zephyrine (Arvind Kumar N), 1-23.5 1000 In 1-10 600 In 42.5 Former 8 Lengths Ahead. | (-6) | 1200m | Outer Sand
25 Apr 2026 | BAN | Zephyrine (ArvindKumar), Zakharova (L.A.Rozario ), 1-46.5 1200/1-31 1000/1-16 600/46.5 Pair went easy. | (+1) | 1400M | Outer Sand
18 Apr 2026 | BAN | Bulletproof (P.Trevor), Splendid Dream (Shreyas S), Zephyrine (L.A.Rozario), Royal Deccan (Aleemuddin), Zayana (Pavan), Vafadar (ChetanKalay), Friya (Rushal G), Wakizashi (MukeshK mys ), 1-14.60 wony by:- Lnk, 21/4, 31/4, 31/4, 71/4, 73/4, 10. First named named pleased. | (-15) | 1200M | Mock Race
14 Apr 2026 | BAN | Zakharova (Pavan), Zephyrine (L A Rozario), 1-25 From 1200 To 600 In 42 Former Finished 2 Lengths Ahead | (-5) | 1200m | Gate Practice
01 Apr 2026 | BAN | Zakharova (Pavan), Zephyrine (L.A.Rozario ), 1-30.5 1000/1-15 600/44 Former 3 Length ahead. | (+0) | 1200M | Outer Sand
03 Apr 2026 | BAN | Steffen (R B ) 46 Easy. | (+1) | 600m | Outer Sand
05 Jun 2026 | BAN | Goddess Of War (G Vivek ) 1-27 1000 In 1-11.5 600 In 43 Good. | (-3) | 1200m | Outer Sand
22 Apr 2026 | BAN | Goddess Of War (P Trevor ) 1-23.5 1000/1-10 600/42.5 Worked Attractively. | (-6) | 1200m | Outer Sand
16 Apr 2026 | BAN | Goddess Of War (Chetan Kalay ) 43.5 Handy. | (-1) | 600M | Outer Sand
07 Apr 2026 | BAN | Goddess Of War (R.B ) 1-42 1200/1-25.5 1000/1-10.5 600/44 Worked well. | (-3) | 1400M | Outer Sand
02 Apr 2026 | BAN | Goddess Of War (R.Girish) 1-14 600/43 Good. | (-1) | 1000M | Outer Sand
21 Jul 2026 | BAN | Kiss Of Grey (Saurav Rawat), Eternal Glory (Rb ), 1-14 600 In 43 Former 5 Lengths Ahead. | (-1) | 1000m | Outer Sand
05 May 2026 | BAN | Ibadath (Suraj Narredu), Kiss Of Grey (G.Praveen ), 1-26.5 1000 In 1-10 600 In 41 Former 8 Lengths Ahead. | (-3) | 1200m | Outer Sand
27 Apr 2026 | BAN | Kiss Of Grey (Suraj Narredu), Imperial Star (R.Vaibhav), 1-14 600/44.5 Former finished 4 length ahead. | (-1) | 1000M | Outer Sand
14 Apr 2026 | BAN | Assurances (K Sai Kiran), Kiss Of Grey (Suraj Narredu ), 1-13.5 600/43 Pair Moved Together. | (-1) | 1000m | Outer Sand
07 Jul 2026 | BAN | Lasya (Bhawani Singh ) 1-11.5 600 In 43 Extended. | (-3) | 1000m | Outer Sand
