22 Jul 2026 | BAN | Legacy Field (Akshay Kumar), Atman (Shamaz Shareef ), 44.5 They Level. | (+0) | 600m | Outer Sand
05 May 2026 | BAN | Atman (Akshay Kumar), Ark Emperor (Shamaz Shareef ), 1-25 1200 To 600 In 41.5 Level Jump And Former 4 Lengths Infront. | (-5) | 1200m | Gate Practice
09 Apr 2026 | BAN | Atman (R Girish ) 46 Handy. | (+1) | 600m | Outer Sand
02 Apr 2026 | BAN | Legacy Field (R.B), Atman (R.Girish), 1-15 600/45 They level. | (Even) | 1000M | Outer Sand
02 Jun 2026 | BAN | Auspicious King (M Rajesh Kumar ) 1-8 600 in 40 Extended. | (-7) | 1000m | Inner Sand
05 May 2026 | BAN | Auspicious King (M Rajesh Kumar), Inferna (Kiran Rai P ), 1-20 1200 To 600 In 40.5 Level Jump And Former Distance Ahead. | (-10) | 1200m | Gate Practice
27 Apr 2026 | BAN | Auspicious King (RajeshKumar ) 44 Moved well. | (-1) | 600M | Outer Sand
17 Apr 2026 | BAN | Perfect Legend (Chetankalay), Silicon Star (A Ramu), Jailer (A R Pradeep), Agape (B Paswan), Magnus (P Mani), Night Raider (L A Rozario), Auspicious King (Rajeshkumar ), 1-20.95 Won By: 5 1/4, 1 1/4, 1/2, 7 3/4, 8 1/2, 3. | (-16) | 1300m | Mock Race
15 Apr 2026 | BAN | Auspicious King (RajeshKumar ) 44.5 Moved well. | (+0) | 600M | Outer Sand
14 Apr 2026 | BAN | Auspicious King (Rajesh Kumar ) 45.5 Easy. | (+0) | 600m | Outer Sand
20 Jul 2026 | BAN | Shaolin Star (Saurav Rawat), Time Tester (M Prabhakaran ), 1-7.5 600 In 39 Former Started 3 Lengths Behind And Finished Level. | (-7) | 1000m | Outer Grass
13 Jul 2026 | BAN | Virtuous (Suraj Narredu), Shaolin Star (Darshan R N ), 1-23 1000 In 1-8 600 In 38 Former Started 2 Lengths Behind And Finished 3 Lengths Infront. | (-7) | 1200m | Outer Grass
07 Jul 2026 | BAN | Time Tester (Darshan R N), Shaolin Star (MD Tahlib ), 1-25 1200 To 600 In 41 Level Jump And Former 2 Lengths Ahead. | (-5) | 1200m | Gate Practice
30 Jun 2026 | BAN | Valerian (Neeraj Rawal), Shaolin Star (J H Arul ), 1-30.5 1200 To 600 In 44 Level Jump Former Showed Out. | (+0) | 1200m | Gate Practice
20 Jun 2026 | BAN | Shaolin Star (Rb Wildstar) 45 Former 6 Lengths Ahead. | (Even) | 600m | Outer Sand
21 Apr 2026 | BAN | Iconic (Neeraj Rawal), Shaolin Star (R.Vaibhav ), 1-39 From 1200 to 600 in 45 Former trounced latter. | (+9) | 1200M | Gate Practice
21 Jul 2026 | BAN | Zenzele (Trevor Patel), Como (Akshay Kumar ), 1-45 1200 In 1-29 1000 In 1-14.5 600 In 44.5 Former 4 Lengths Ahead. | (Even) | 1400m | Outer Sand
14 Jul 2026 | BAN | Zenzele (Aliyar), Como (Trevor Patel ), 1-27.5 1000 In 1-12.5 600 In 43.5 They Moved Well. | (-2) | 1200m | Outer Sand
