horse,date,swim_count
MAYNE MAGIC,13/07/2026,1
MAYNE MAGIC,14/07/2026,2
MAYNE MAGIC,15/07/2026,2
MAYNE MAGIC,16/07/2026,2
MAYNE MAGIC,17/07/2026,2
MAYNE MAGIC,20/07/2026,1
MAYNE MAGIC,21/07/2026,2
ONCE YOU GO BLACK,15/07/2026,1
ONCE YOU GO BLACK,16/07/2026,1
ONCE YOU GO BLACK,17/07/2026,1
ONCE YOU GO BLACK,21/07/2026,1
PROMISEOFTHEFUTURE,14/07/2026,2
PROMISEOFTHEFUTURE,15/07/2026,2
PROMISEOFTHEFUTURE,16/07/2026,2
PROMISEOFTHEFUTURE,17/07/2026,2
PROMISEOFTHEFUTURE,21/07/2026,2
SHAMROCK,15/07/2026,1
SHAMROCK,16/07/2026,1
SHAMROCK,17/07/2026,1
SHAMROCK,20/07/2026,1
SHAMROCK,21/07/2026,1
