23 Jul 2026 | BAN | Shamrock (Suraj ) 1-7 600/38.5 Stretched. | (-8) | 1000m | Inner Sand
05 Jul 2026 | BAN | Shamrock (Abhishek), Dyf (Aleemuddin), Legendary Impact (Vishal), Friya (Lave Kumar), Victoria Moon (Anish Anamo Hangal ), 1-27.80 Won By:1 3/4,4 1/4,8 1/4 & 6 1st Named Impressed. | (-17) | 1400m | Mock Race
29 Jun 2026 | BAN | Shamrock (Suraj Narredu ) 1-22 1000 In 1-6 600 In 38 Good. | (-8) | 1200m | Outer Grass
22 Jun 2026 | BAN | Shamrock (Suraj Narredu ) 1-12 600 In 39 Good. | (-3) | 1000m | Outer Grass
01 Jun 2026 | BAN | Mayne Magic (Antony Raj ) 1-15 600 In 44 Moved Well. | (Even) | 1000m | Outer Sand
17 May 2026 | BAN | Mayne Magic (Antony Raj), Positano (Akshay Kumar), A Great Buzz (Pavan ), 1-27.42 Shd & 17 1/4 1st And 2nd Named Impressed. | (-17) | 1400m | Mock Race
17 Apr 2026 | BAN | Mayne Magic (Antony Raj), Blue Storm (L A Rozario), Siege Courageous (R Girish), Lots Of Luck (Chetankalay), Art Of Romance (Rajeshkumar), My Visionary (Jagadeesh), Hyperdrive (Pavan), 1-19.65 Won By: 7l, 4 3/4, 2 3/4, 8, 11 1/4, 3 1/4. | (-17) | 1300m | Mock Race
22 Jul 2026 | BAN | Alfonsine (Rb ) 1-12 600 In 41.5 Impressed. | (-3) | 1000m | Outer Sand
21 Jul 2026 | BAN | Alfonsine (Rb ) 1-15 600 In 44 Handy. | (Even) | 1000m | Outer Sand
15 Jul 2026 | BAN | Alfonsine (Rb ) 44.5. Moved Freely. | (+0) | 600m | Outer Sand
01 Jul 2026 | BAN | Alfonsine (Ashhad Asbar ) 1-22.5 1000 In 1-8 600 In 41 Retains Form. | (-7) | 1200m | Outer Sand
16 Jun 2026 | BAN | Alfonsine (Ashhad Asbar ) 1-44 1200 In 1-28 1000 In 1-13.5 600 In 44 Well In Hand. | (-1) | 1400m | outer Sand
12 Jun 2026 | BAN | Alfonsine (S.hinayathulla ) 44 Moved Freely. | (-1) | 600m | Outer Sand
10 Jun 2026 | BAN | Alfonsine (S Hinayathulla ) 1-13 600 In 42 Moved On The Bit. | (-2) | 1000m | Outer Sand
17 May 2026 | BAN | Alfonsine (Trevor Patel ) 1-41.5 1200 In 1-27 1000 In 1-13 600 In 45.5 Moved Freely. | (-3) | 1400m | Outer Sand
14 May 2026 | BAN | Alfonsine (S Hinayathulla ) 1-25 1000 In 1-10 600 In 42.5 Stretched Out Well. | (-5) | 1200m | Outer Sand
09 May 2026 | BAN | Alfonsine (Rb) 43 Moved Well. | (-2) | 600m | Outer Sand
08 May 2026 | BAN | Alfonsine (Rb ) 43.5 Moved Well. | (-1) | 600m | Outer Sand
06 May 2026 | BAN | Alfonsine (Rb ) 45.5 Pushed. | (+0) | 600m | Outer Sand
28 Jun 2026 | BAN | John Wick (Ritesh.G), Nonpariel (Pavan), Tipped Off (Aleemuddin), Mister Brown (Anish Hangal), Sacred Flash (Aditya Waydande ), 1-26.67 Won By:2 1/4,7 3/4,1 1/4 & 6 1/2 1st Named Impressed. | (-18) | 1400m | Mock Race
