24 Jul 2026 | HYD | Ashwa Vivegam (Gaurav Singh), Calista Babe (App ), 59 600/44, Former Moved Well. | (-1) | 800m | Sand
18 Jul 2026 | HYD | Ashwa Vivegam (Gaurav Singh), Glimmer Of Hope (Rb ), 1-0 600/46, Former Moved Well. | (Even) | 800m | Sand
24 Jul 2026 | HYD | Ojas Maximus (Aa Vikrant), Clara (App ), 59 600/44, Pair Looks Well. | (-1) | 800m | Sand
16 Jul 2026 | HYD | Ojas Maximus (Rb ) 1-0 600/45, Urged-A-Bit. | (Even) | 800m | Sand
11 Jul 2026 | HYD | Ojas Maximus (Rb), Clara (Rb ), 1-1 600/45 Pair Moved Well. | (+1) | 800m | Sand
07 Jul 2026 | HYD | Ojas Maximus (RB), Queen Dali (RB ), 1-1 600/47, pair finished level. | (+1) | 800m | Sand
22 Jul 2026 | HYD | Advait (Abhay Singh), Yali (App ), 57 600/43 Pair Fit Pair. | (-3) | 800m | Sand
14 Jul 2026 | HYD | Yali (Abhay Singh), Turiya (RB ), 58 600/44, pair shaped well. | (-2) | 800m | Sand
13 Jul 2026 | HYD | Yali (Abhay Singh ) 1-2 600/46, Moved Easy. | (+2) | 800m | Sand
10 Jul 2026 | HYD | Yali (Abhay Singh ) 1-1 600/46, moved easy. | (+1) | 800m | Sand
24 Jul 2026 | HYD | Khamagani (App), Ashwa Jaffna (Gaurav Singh ), 59 600/44, Former Moved Well. | (-1) | 800m | Sand
18 Jul 2026 | HYD | Ashwa Jaffna (Rb), Khamagani (Gaurav Singh ), 58 600/44, Former Moved Well. | (-2) | 800m | Sand
24 Jul 2026 | HYD | Belgium Waffle (Mohit Singh ) 59 600/44, Shaped Well. | (-1) | 800m | Sand
16 Jul 2026 | HYD | Belgium Waffle (Mohit Singh ) 58 600/44, Good. | (-2) | 800m | Sand
10 Jul 2026 | HYD | Belgium Waffle (Mohit Singh), 3y Saamidd/Glorious Lady (RB ), 1-18 800/1-1, 600/46, pair moved easy. | (+3) | 1000m | Sand
07 Jul 2026 | HYD | Belgium Waffle (Mohit Singh ) 1-2 600/46, moved easy. | (+2) | 800m | Sand
25 Jul 2026 | HYD | Evan Sville (P Sai Kumar), Corte Madera (Ajay Kumar ), 59 600/44, Pair Fit And Well. | (-1) | 800m | Sand
22 Jul 2026 | HYD | Vinfast (Santhosh Raj), Gacchanmanasvin (Md Ismail ), 58 600/44 Pair Worked Well. | (-2) | 800m | Sand
16 Jul 2026 | HYD | Gacchanmanasvin (Md Ismail), Vinfast (Santhosh Raj ), 59 600/45, Former Handy. | (-1) | 800m | Sand
10 Jul 2026 | HYD | Gacchanmanasvin (App), Classy Touch (RB ), 1-2 600/46, pair moved easy. | (+2) | 800m | Sand
18 Jul 2026 | HYD | White Pearl (Rs Jodha), Love In Paris (Md Ekram Alam ), 59 600/44 Pair Finished Level. | (-1) | 800m | Sand
11 Jul 2026 | HYD | Love In Paris (Md Ekram Alam), White Pearl (Rs Jodha ), 1-0 600/45 Pair Finished Level. | (Even) | 800m | Sand
22 Jul 2026 | HYD | N R I Sunpower (Br Kumar), N R I Crypto Power (Deepak Singh ), 58 600/44 Pair Looks Well. | (-2) | 800m | Sand
14 Jul 2026 | HYD | N R I Crypto Power (BR Kumar), N R I Sunpower (RB ), 59 600/44, pair shaped well. | (-1) | 800m | Sand
23 Jul 2026 | HYD | Speedy Queen (Surya Prakash ) 58 600/44, Worked Well. | (-2) | 800m | Sand
31 May 2026 | BAN | Havoc (K.Pranil), Vortex (A Sandesh), River Deep (M Naveen), Speedy Queen (A R Pradeep), Arc Of Life (Darshan R N ), 1-29.54 Won By:1/2,24,8 1/2 & 5 Havoc Led All The Way Handy Up To 50m Good 2nd Vortex 2nd Till All The Way Won Easily Last Stride Last Named All The Way Last Position And Last. | (-15) | 1400m | Mock Race
17 Jul 2026 | HYD | Detective (Kuldeep Singh), Star Lit (G Naresh ), 1-0 600/45, Former Handy. | (Even) | 800m | Sand
23 Jul 2026 | HYD | Trend Setter (Afroz Khan), Sargent (Rb ), 1-16 800/59, 600/44, Former Moved Well. | (+1) | 1000m | Sand
16 Jul 2026 | HYD | Trend Setter (Rb ) 1-0 600/45, Handy. | (Even) | 800m | Sand
