horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,9,RAGNAROK,Tenth Star(IRE),Sweet Caroline,4-2-10-11-6.,6y,ch,g,Mr Donald Anthony Netto & Mr P Ranga Raju,D Netto,Shivam,60,,A,TS-XNB,81,77,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
2,7,SILVER ACT,Saamidd(GB),Angarika(GB),4-3-6-5-8.,6y,gr,m,Mr Hari Sharan Devgan,Magan Singh,P Sai Kumar,59,,A,,80,75,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
3,3,PERCEPTION,Sedgefield(USA),Providence,3-1-1-1-1.,5y,b,rig,Mr Rakesh Reddy Kondakalla,Robin R Kondakalla,G Naresh,58.5,,A,TS-XNB,55,74,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
4,5,ARABESKA,Dreamfield(GB),Connemara,1-1-2-4-2.,4y,gr,f,"Dr Ram H Shroff & Mr Raj Shroff rep. Stride Livestock Pvt Ltd, Mr Dilip Ramanlal Thacker, Mr Surendra Ramachandra Sanas & Mr Chetan Shantilal Shah",L V R Deshmukh,Akshay Kumar,57,,A,TS-PF,70,71,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
5,4,DETECTIVE,Sedgefield(USA),Translation(GB),3-1-6-4-9.,6y,b,h,Mr Cyrus F Palia & Mrs Freny C Palia & Kunwar Digvijay Singh Shekhawat,Laxman Singh,Gaurav Singh,57,,A,TS-XNB,73,71,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
6,1,ANNHILATOR,Gusto(GB),Tsesebe,11-4-1-1-3.,5y,b,g,"Mr Srikanth Badruka, Mr Rama Seshu Eyunni & Dr Prabhakar Chowdary Tripuraneni",D Netto,Kuldeep Singh,56,,A,HD-XNB,70,69,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
7,2,ROMANTIC GREY,Dali(USA),Eternal Spirit,5-2-1-8-7.,6y,gr,m,Mr Syed Mohiuddin Mufeed,M F Ali Khan,A A Vikrant,55.5,,A,TS-RDB,70,68,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
8,8,KNIGHT CRUSADER,Speaking Of Which(IRE),Adiella,12-3-5-2-2.,5y,b,g,Mr C Aryama Sundaram,R H Sequeira,B R Kumar,54.5,,A,TS-XNB,65,66,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
9,10,EXCLUSIVE BLACK,Net Whizz(USA),Matilda,1-2-4-8-3.,5y,dkb,g,Mr Shankar Srinivas & Mrs Smita Bajoria,A Imran Khan,Md Ekram Alam,54,,A,TS-BB,66,65,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
10,6,STAR FOREVER,Excellent Art(GB),Forever Glory,4-3-5-10-9.,5y,b,m,"Mr Ashok Ranpise, Mr Bollineni Krishnaiah, Mr Seshadri Reddy Pochana, Mr Teegala Sumant Reddy, Dr Teegala Vijender Reddy, Mr Satish Kumar Reddy Poondla, Mr Giri Prathamesh Mahadev & Mr Teja Gollapudi",K S V Prasad Raju,Ajay Kumar,53,,S,TS-BLK,67,63,2,The Con Amore Plate Div-2,"Class 2 / A Handicap For Horses Rated 60 To 85, 3 Year Olds And Upward (Cat-2)",1400 M,01:40 PM,Winner:₹.378000 Second:₹.210000 Third:₹.168000 Fourth:₹.42000 Fifth:₹.25200 Sixth:₹.16800 Total:₹.840000,
