24 Jul 2026 | HYD | Ragnarok (App), Magical Touch (App ), 58 600/44, Pair Finished Level. | (-2) | 800m | Sand
22 Jul 2026 | HYD | Ragnarok (Kuldeep Singh), Her Ladyship (App ), 1-1 600/45 Pair Finished Level. | (+1) | 800m | Sand
20 Jul 2026 | HYD | Ragnarok (App ) 59 600/45, Moved Well. | (-1) | 800m | Sand
18 Jul 2026 | HYD | Ragnarok (Rb ) 1-17 800/1-0, 600/45, Handy. | (+2) | 1000m | Sand
16 Jul 2026 | HYD | Ragnarok (App ) 59 600/44, Well In Hand. | (-1) | 800m | Sand
22 Jul 2026 | HYD | Silver Act (App ) 59 600/44 Well In Hand. | (-1) | 800m | Sand
18 Jul 2026 | HYD | Silver Act (Rb), Smashing Grey (Afroz Khan ), 1-0 600/45, Pair Handy. | (Even) | 800m | Sand
13 Jul 2026 | HYD | Smashing Grey (Afroz Khan), Silver Act (Rb ), 1-1 600/47, Moved Together. | (+1) | 800m | Sand
08 Jul 2026 | HYD | Smashing Grey (App), Silver Act (RB ), 1-3 600/47, pair finished level. | (+3) | 800m | Sand
16 Jul 2026 | HYD | Perception (G Naresh ) 58 600/44, Good. | (-2) | 800m | Sand
23 Jul 2026 | HYD | Arabeska (Surya Prakash ) 57 600/43, Good. | (-3) | 800m | Sand
18 Jul 2026 | HYD | Arabeska (Surya Prakash ) 1-0 600/44, Handy. | (Even) | 800m | Sand
17 Jul 2026 | HYD | Arabeska (Surya Prakash ) 1-2 600/46, Moved Easy. | (+2) | 800m | Sand
14 Jul 2026 | HYD | Arabeska (Surya Prakash ) 57 600/43, pleased. | (-3) | 800m | Sand
17 Jul 2026 | HYD | Detective (Kuldeep Singh), Star Lit (G Naresh ), 1-0 600/45, Former Handy. | (Even) | 800m | Sand
16 Jul 2026 | BAN | Eminent Gold (Antonyraj), Detective Conan (Rb ), 1-13 600/41 Former Distance Ahead. | (-2) | 1000m | Outer Sand
21 Jun 2026 | BAN | Shining Path (Antony Raj), Detective Conan (J H Arul ), 1-12.5 600 In 43 Former Easily 8 Lengths Infront. | (-2) | 1000m | Outer Sand
02 Jun 2026 | BAN | Signs of Change (Sai Kiran), Detective Conan (J H Arul ), 45.5 Former 5 Lengths Ahead. | (+0) | 600m | Outer Sand
17 May 2026 | BAN | Bright Thunder (J H Arul), Detective Conan (G.Praveen ), 1-12 600 In 43 Former 8 Lengths Infront. | (-3) | 1000m | Outer Sand
14 May 2026 | BAN | Detective Conan (Laxman), Shining Dawn (J H Arul ), 43.5 They Moved Well. | (-1) | 600m | Outer Sand
10 May 2026 | BAN | Regal Beauty (A R Pradeep), Detective Conan (Sai Kiran ), 44 Formr Started 2 Lengths Behind And Finished 8 Lengths Ahead. | (-1) | 600m | Outer Sand
05 May 2026 | BAN | Bright Thunder (A R Pradeep), Shining Path (J H Arul), Detective Conan (Laxman ), 1-23 1200 To 600 In 38.5 All Level Jump Dist & Dist Seperated Them. | (-7) | 1200m | Gate Practice
19 Apr 2026 | BAN | Starsinhereyes (J.H.Arul), Detective Conan (K.SaiKiran ), 46 Former finished 4L ahead. | (+1) | 600M | Outer Sand
18 Jul 2026 | HYD | Ayushman (App), Annhilator (App ), 58 600/44, Pair Well In Hand. | (-2) | 800m | Sand
16 Jul 2026 | HYD | Annhilator (Kuldeep Singh ) 1-0 600/45, Handy. | (Even) | 800m | Sand
09 Jul 2026 | HYD | Annhilator (Kuldeep Singh ) 1-0 600/45, handy. | (Even) | 800m | Sand
17 Jul 2026 | HYD | Romantic Grey (Kuldeep Jr ) 1-18 800/1-1, 600/47, Handy. | (+3) | 1000m | Sand
10 Jul 2026 | HYD | Romantic Grey (Afroz Khan ) 1-0 600/44, well in hand. | (Even) | 800m | Sand
21 Jul 2026 | HYD | Knight Crusader (RB), Arion One (RB ), 59 600/44, pair worked well. | (-1) | 800m | Sand
14 Jul 2026 | HYD | Catch The Worm (BR Kumar), Knight Crusader (RB ), 59 600/44, former moved well. | (-1) | 800m | Sand
10 Jul 2026 | HYD | Knight Crusader (BR Kumar ) 1-0 600/45, handy. | (Even) | 800m | Sand
25 Jul 2026 | HYD | Pacific Heights (Ajay Kumar), Star Forever (App ), 57 600/43, Former To Note. | (-3) | 800m | Sand
17 Jul 2026 | HYD | Star Forever (Rb), Special Star (Rb ), 1-1 600/47, Pair Moved Well. | (+1) | 800m | Sand
