22 Jul 2026 | HYD | Advait (Abhay Singh), Yali (App ), 57 600/43 Pair Fit Pair. | (-3) | 800m | Sand
18 Jul 2026 | HYD | Garfunkle (Abhay Singh), Advait (App ), 59 600/44, Pair Finished Level. | (-1) | 800m | Sand
17 Jul 2026 | HYD | Advait (App), Garfunkle (Abhay Singh ), 59 600/44, Pair Shaped Well. | (-1) | 800m | Sand
14 Jul 2026 | HYD | Advait (Abhay Singh), Garfunkle (RB ), 57 600/43, pair pushed. | (-3) | 800m | Sand
11 Jul 2026 | HYD | Advait (Surya Prakash), Garfunkle (Abhay Singh ), 1-3 600/46 Pair Moved Easy. | (+3) | 800m | Sand
24 Jul 2026 | HYD | Pride Aside (Trainer), Master Class (Gaurav Singh ), 58 600/44, Pair Handy. | (-2) | 800m | Sand
18 Jul 2026 | HYD | Master Class (Gaurav Singh), Pride Aside (Trainer ), 59 600/44, Former Moved Well. | (-1) | 800m | Sand
17 Jul 2026 | HYD | Master Class (Gaurav Singh), Pride Aside (App ), 1-3 600/47, Pair Finished Level. | (+3) | 800m | Sand
11 Jul 2026 | HYD | Khamagani (Gaurav Singh), Master Class (Rb ), 1-0 600/46 Pair Moved Well. | (Even) | 800m | Sand
23 Jul 2026 | HYD | Phoebus (Aa Vikrant), Daring Spirit (Rb ), 1-15 800/59, 600/44, Former Finished 2l In Front. | (Even) | 1000m | Sand
19 Jul 2026 | HYD | Daring Spirit (RB), Phoebus (AA Vikrant ), 59 600/44, pair moved well. | (-1) | 800M | Sand
09 Jul 2026 | HYD | Phoebus (RB), Daring Spirit (RB ), 1-1 600/45, moved together. | (+1) | 800m | Sand
22 Jul 2026 | HYD | Smashing Grey (Afroz Khan), Coming Home (B Nickil ), 1-17 800/1-1, 600/45 Moved Together. | (+2) | 1000m | Sand
18 Jul 2026 | HYD | Silver Act (Rb), Smashing Grey (Afroz Khan ), 1-0 600/45, Pair Handy. | (Even) | 800m | Sand
13 Jul 2026 | HYD | Smashing Grey (Afroz Khan), Silver Act (Rb ), 1-1 600/47, Moved Together. | (+1) | 800m | Sand
08 Jul 2026 | HYD | Smashing Grey (App), Silver Act (RB ), 1-3 600/47, pair finished level. | (+3) | 800m | Sand
10 Jul 2026 | BAN | Twilight King (J H Arul ) 1-44 1200 In 1-28 1000 In 1-13 600 In 45 Moved Well. | (-1) | 1400m | Outer Sand
30 Jun 2026 | BAN | Twilight King (Akshay Kumar ) 1-41.5 1200 In 1-26.5 1000 In 1-11.5 600 In 44 Improved. | (-3) | 1400m | Outer Sand
23 Jun 2026 | BAN | Twilight King (Rafique Sk), Eminent Gold (J H Arul ), 1-23 1200 To 600 In 41 Level Jump And Former Distance Ahaed. | (-7) | 1200m | Gate Practice
16 Jun 2026 | BAN | Twilight King (Saqlain S ) 1-27.5 1000 In 1-13 600 In 45 Extended. | (-2) | 1200m | outer Sand
02 Jun 2026 | BAN | Twilight King (Rafique Sk ) 1-41.5 1400 to 600 in 55.5 Extended. | (-3) | 1400m | Outer Sand
23 May 2026 | BAN | Super Flash (A Sandesh), Twilight King (Rafique Sk ), 1-43.5 1200 In 1-26.5 1000 In 1-11.5 600 In 42.5 Former 6 Lengths Ahead. | (-1) | 1400m | Outer Sand
22 Jul 2026 | HYD | Vidyutprabhava (Santhosh Raj ) 1-16 800/1-0, 600/44 Well In Hand. | (+1) | 1000m | Sand
17 Jul 2026 | HYD | Vidyutprabhava (Rb), Aakarshaka (Ajay Kumar ), 1-0 600/45, Pair Unextended. | (Even) | 800m | Sand
20 Jul 2026 | HYD | Weseethesamesun (Rohit Kumar ) 1-0 600/45, Unextended. | (Even) | 800m | Sand
24 Jul 2026 | HYD | Wind Castle (Rb ) 1-16 800/1-0, 600/46, Handy. | (+1) | 1000m | Sand
21 Jul 2026 | HYD | N R I Superpower (Deepak Singh), Anemara (RB ), 59 600/45, former moved well. | (-1) | 800m | Sand
14 Jul 2026 | HYD | N R I Superpower (BR Kumar), Anemara (RB ), 1-15 800/59, 600/44, former to note. | (Even) | 1000m | Sand
22 Jul 2026 | HYD | My Way My Rules (Afroz Khan), Kinship (App ), 58 600/44 Former Moved Well. | (-2) | 800m | Sand
15 Jul 2026 | HYD | Kinship (Rb), Dhanadeepa (Rb ), 1-1 600/46, Former Moved Well. | (+1) | 800m | Sand
09 Jul 2026 | HYD | Kinship (K Mukesh), Chanced One (RB ), 1-1 600/45, pair finished level. | (+1) | 800m | Sand
23 Jul 2026 | HYD | First Kiss (App), N R I Mega Power (B Nikhil ), 59 600/44, Former Moved Well. | (-1) | 800m | Sand
18 Jul 2026 | HYD | N R I Royal Power (App), N R I Mega Power (Kuldeep Singh ), 1-16 800/1-0, 600/45, Pair Finished Level. | (+1) | 1000m | Sand
16 Jul 2026 | HYD | N R I Royal Power (App), N R I Mega Power (Kuldeep Singh ), 1-0 600/45, Former Finished Level. | (Even) | 800m | Sand
11 Jul 2026 | HYD | N R I Royal Power (App), N R I Mega Power (Kuldeep Singh ), 1-0 600/45 Pair Finished Level. | (Even) | 800m | Sand
07 Jul 2026 | HYD | N R I Mega Power (App ) 1-0 600/45, unextended. | (Even) | 800m | Sand
07 Jul 2026 | HYD | Northern Sky (RB ) 1-1 600/45, handy. | (+1) | 800m | Sand
24 Jul 2026 | HYD | Velvera (Surya Prakash), Whistledown (Kuldeep Jr ), 58 600/44, Former To Note. | (-2) | 800m | Sand
18 Jul 2026 | HYD | Materiality (Kuldeep Jr), Velvera (P Ajeeth K ), 1-0 600/45, Pair Moved Well. | (Even) | 800m | Sand
14 Jul 2026 | HYD | Knight Regent (App), Velvera (Surya Prakash ), 59 600/44, former moved well. | (-1) | 800m | Sand
13 Jul 2026 | HYD | Velvera (Surya Praksah ) 1-3 600/47, Moved Easy. | (+3) | 800m | Sand
