24 Jul 2026 | HYD | Pride Aside (Trainer), Master Class (Gaurav Singh ), 58 600/44, Pair Handy. | (-2) | 800m | Sand
18 Jul 2026 | HYD | Master Class (Gaurav Singh), Pride Aside (Trainer ), 59 600/44, Former Moved Well. | (-1) | 800m | Sand
17 Jul 2026 | HYD | Master Class (Gaurav Singh), Pride Aside (App ), 1-3 600/47, Pair Finished Level. | (+3) | 800m | Sand
25 Jul 2026 | HYD | Mountain Touch (App ) 1-19 800/1-2, 600/46, Moved Freely. | (+4) | 1000m | Sand
16 Jul 2026 | HYD | Mountain Touch (Ajay Kumar ) 1-0 600/45, Handy. | (Even) | 800m | Sand
10 Jul 2026 | HYD | Mountain Touch (App ) 1-1 600/45, unextended. | (+1) | 800m | Sand
23 Jul 2026 | HYD | Divine Tiger (Surya Prakash ) 57 600/43, Strode Out Well. | (-3) | 800m | Sand
18 Jul 2026 | HYD | Divine Tiger (Surya Prakash ) 57 600/43, Pleased. | (-3) | 800m | Sand
17 Jul 2026 | HYD | Divine Tiger (Surya Prakash ) 1-19 800/1-3, 600/47, Handy. | (+4) | 1000m | Sand
14 Jul 2026 | HYD | Divine Tiger (Surya Prakash ) 57 600/43, impressed. | (-3) | 800m | Sand
11 Jul 2026 | HYD | Divine Tiger (Surya Prakash ) 1-1 600/46 Moved Easy. | (+1) | 800m | Sand
25 Jul 2026 | HYD | Yuvraj (Kuldeep Singh), Grit 'N' Grace (App ), 1-2 600/46, Pair Moved Well. | (+2) | 800m | Sand
23 Jul 2026 | HYD | Yuvraj (Kuldeep Singh), Grit 'N' Grace (App ), 59 600/45, Former Good. | (-1) | 800m | Sand
16 Jul 2026 | HYD | Yuvraj (Kuldeep Singh ) 1-0 600/45, Handy. | (Even) | 800m | Sand
14 Jul 2026 | HYD | Yuvraj (Kuldeep Singh ) 1-19 800/1-3, 600/47, moved freely. | (+4) | 1000m | Sand
11 Jul 2026 | HYD | Yuvraj (Kuldeep Singh ) 1-17 800/1-1, 600/47 Moved Easy. | (+2) | 1000m | Sand
22 Jul 2026 | HYD | La Fleuriere (App ) 59 600/44 Well In Hand. | (-1) | 800m | Sand
14 Jul 2026 | HYD | La Fleuriere (Abhay Singh ) 1-17 800/1-1, 600/47, handy. | (+2) | 1000m | Sand
10 Jul 2026 | HYD | La Fleuriere (Abhay Singh ) 1-1 600/46, moved easy. | (+1) | 800m | Sand
09 Jul 2026 | HYD | La Fleuriere (P Ajeeth K ) 1-1 600/45, moved well. | (+1) | 800m | Sand
