24 Jul 2026 | HYD | La Quinta (P Sai Kumar ) 1-2 600/46, Moved Easy. | (+2) | 800m | Sand
27 Jul 2026 | MYS | Seeking Alpha (Rb ) 1-20 1000/1-06, 800/53, 600/39, In Fine Shape. | (-10) | 1200m | Outer Sand
24 Jul 2026 | MYS | Seeking Alpha (RB ) 1-14 800/58, 600/42, Un-Extended, Note. | (-1) | 1000M | Outer Sand
23 Jul 2026 | HYD | Ek (Afroz Khan ) 58 600/44, Looks Well. | (-2) | 800m | Sand
22 Jul 2026 | KOL | Dr Doom (Rb), Tekton (Rb), Memphis (Apprentice ), 1-20 800/1m 4, 600/47, 400/32 Trio Moved Easy In Distance Separated Accordingly. | (+5) | 1000m | Inner Sand
22 Jul 2026 | HYD | One Nation (Deepak Singh), Wolf Creek (Br Kumar ), 1-15 800/59, 600/45, Pair Finished Level. | (Even) | 1000m | Sand
19 Jul 2026 | PUN | Ekla Cholo (Sandesh ) 54 600 40, Easy. | (-6) | 800M | Inner Sand
19 Jul 2026 | HYD | Ek (Afroz Khan), Atreya (App ), 59 600/45, pair shaped well. | (-1) | 800M | Sand
19 Jul 2026 | MYS | Seeking Alpha (RB ) 1-19 1000/1.05, 800/51, 600/38, In Rousing Form | (-11) | 1200M | Outer Sand
18 Jul 2026 | BAN | Rieko (Neeraj Rawal ) 1-23 1000 In 1-9 600 In 39.5 Moved Well. | (-7) | 1200m | Inner Sand
18 Jul 2026 | MYS | Seeking Alpha (Rb ) 44 In Fine Shape. | (-1) | 600m | Outer Sand
16 Jul 2026 | PUN | Ekatarina (Neeraj), Royal Champ (Hamir ), 1-23 1000 1-08, 800 54, 600 41, Former finished 2Ls ahead. | (-7) | 1200M | Inner Sand
16 Jul 2026 | HYD | Ek (Afroz Khan), Cosmico (Rb ), 59 600/44, Pair Worked Well. | (-1) | 800m | Sand
14 Jul 2026 | HYD | One Nation (BR Kumar), Wolf Creek (RB ), 59 600/44, former moved well. | (-1) | 800m | Sand
13 Jul 2026 | PUN | Ekla Cholo (Umesh ) 1-08 800 52, 600 40, Moved freely. | (-7) | 1000M | Inner Sand
11 Jul 2026 | MYS | Seeking Alpha (H Rahul ) 1-36 1200/1-20, 1000/1-05, 800/51, 600/37 In Excellent Form. | (-9) | 1400m | Outer Sand
11 Jul 2026 | HYD | Ek (Afroz Khan), Normui (Rb ), 1-0 600/45 Pair Finished Level. | (Even) | 800m | Sand
04 Jul 2026 | MYS | Seeking Alpha (Rb ) 58 600/39 Retains Excellent Form. | (-2) | 800m | Outer Sand
27 Jun 2026 | PUN | Ekatarina (Shelar), Wise Approach (Mosin ), 58 600 43, Former finished dist ahead. | (-2) | 800M | Inner Sand
26 Jun 2026 | MYS | Seeking Alpha (Rb ) 1-55 1400/1-40, 1200/1-22, 1000/1-08, 800/54, 600/40, Retains Excellent Form, Note. | (-5) | 1600m | Outer Sand
25 Jun 2026 | MYS | Seeking Alpha (Rb ) 58 600/41, Retains Fine Form. | (-2) | 800m | Outer Sand
14 Jun 2026 | MYS | Seeking Alpha (Rb ) 1-26 1000/1-08, 800/53, 600/39, Moved Impressively, Note. | (-4) | 1200m | Outer Sand
29 May 2026 | MYS | Seeking Alpha (RB ) 1-29 1000/1-10, 800/55, 600/40 Moved Impressively | (-1) | 1200M | Outer Sand
28 May 2026 | MYS | Seeking Alpha (RB ) 45 Handy | (Even) | 600M | Outer Sand
24 May 2026 | MYS | Seeking Alpha (RB ) 1-00 600/40, Un-Extended | (Even) | 800M | Outer Sand
17 May 2026 | MYS | Seeking Alpha (Rb ) 39 Moved Well. | (-6) | 600m | Outer Sand
25 Apr 2026 | MYS | Seeking Alpha (RB ) 1-45 1200/1-27, 1000/1-11, 800/57, 600/38, Slightly Extended | (Even) | 1400M | Outer Sand
18 Apr 2026 | BAN | Rieko (R.B. ) 1-8.5 600/40.5 Easy. | (-6) | 1000M | Inner Sand
11 Apr 2026 | BAN | Rieko (P.TRevor ) 1-37 1200/1-20.5 1000/1-6 600/40 Stretched out well. | (-8) | 1400M | Inner Sand
02 Apr 2026 | BAN | Rieko (R.B), Eagle Eye (R.B.), 1-20.5 1000/1-6.5 600/40 Former better. | (-9) | 1200M | Inner Sand
25 Jul 2026 | HYD | My Honey (App ) 1-19 800/1-2, 600/46, Moved Easy. | (+4) | 1000m | Sand
23 Jul 2026 | HYD | My Honey (B Nikhil), Vestamira (App ), 59 600/45, Former Moved Well. | (-1) | 800m | Sand
17 Jul 2026 | HYD | Fox Worth (App), My Honey (Kuldeep Singh ), 1-0 600/46, Pair Finished Level. | (Even) | 800m | Sand
15 Jul 2026 | HYD | My Honey (App), Fox Worth (Rb ), 1-1 600/45, Pair Finished Level. | (+1) | 800m | Sand
11 Jul 2026 | HYD | Fox Worth (App), My Honey (Kuldeep Singh ), 1-3 600/47, Pair Moved Freely. | (+3) | 800m | Sand
22 Jul 2026 | HYD | Zindabad (Br Kumar), Concordia (Deepak Singh ), 59 600/44 Former Moved Well. | (-1) | 800m | Sand
14 Jul 2026 | HYD | Concordia (RB), Zindabad (BR Kumar ), 1-0 600/44, former moved well. | (Even) | 800m | Sand
