26 Jul 2026 | HYD | Rival (Ajay Kumar ) 1-18 (From 1000/400) 46, Moved Freely. | (+3) | 1000m | Sand
21 Jul 2026 | HYD | Ayushman (Kuldeep Singh ) 59 600/45 unextended. | (-1) | 800m | Sand
18 Jul 2026 | HYD | Ayushman (App), Annhilator (App ), 58 600/44, Pair Well In Hand. | (-2) | 800m | Sand
16 Jul 2026 | HYD | Ayushman (App), Decoy (Kuldeep Singh ), 59 600/44, Former Good. | (-1) | 800m | Sand
11 Jul 2026 | HYD | Ayushman (Kuldeep Singh), N R I High Power (App ), 59 600/45 Former Finished 2l In Front. | (-1) | 800m | Sand
09 Jul 2026 | HYD | Ayushman (App), N R I High Power (K Mukesh ), 59 600/44, former good. | (-1) | 800m | Sand
23 Jul 2026 | HYD | Foxy Girl (Afroz Khan ) 58 600/44, Fit And Well. | (-2) | 800m | Sand
10 Jul 2026 | HYD | Foxy Girl (RB ) 1-0 600/45, unextended. | (Even) | 800m | Sand
09 Apr 2026 | BAN | Knightsbridge (Shreyas S), See The Light (Indrajeet S ), 1-7 600.39.5 Former 4 Length In Front. | (-8) | 1000m | Inner Sand
23 Jul 2026 | HYD | Juramento (App ) 1-2 600/46, Moved Easy. | (+2) | 800m | Sand
19 Jul 2026 | HYD | Feel The Magic (RB ) 1-1 600/46 handy. | (+1) | 800M | Sand
10 Jul 2026 | HYD | Feel The Magic (App ) 1-2 600/46, moved freely. | (+2) | 800m | Sand
