horse,date,swim_count
AMAZING ARISE,14/07/2026,1
AMAZING ARISE,16/07/2026,2
AMAZING ARISE,17/07/2026,1
AMAZING ARISE,20/07/2026,1
AMAZING ARISE,22/07/2026,1
AMAZING ARISE,23/07/2026,2
AMAZING ARISE,24/07/2026,1
GAJABO GRANDE,14/07/2026,1
GAJABO GRANDE,17/07/2026,1
GAJABO GRANDE,20/07/2026,1
GAJABO GRANDE,21/07/2026,1
GAJABO GRANDE,22/07/2026,1
GAJABO GRANDE,23/07/2026,2
GAJABO GRANDE,24/07/2026,1
GAJABO GRANDE,25/07/2026,1
HIGHER LOVE,14/07/2026,1
HIGHER LOVE,16/07/2026,1
HIGHER LOVE,17/07/2026,2
HIGHER LOVE,20/07/2026,1
HIGHER LOVE,21/07/2026,2
HIGHER LOVE,22/07/2026,2
HIGHER LOVE,23/07/2026,2
NATURAL ONE,14/07/2026,1
NATURAL ONE,16/07/2026,1
NATURAL ONE,17/07/2026,1
NATURAL ONE,20/07/2026,1
NATURAL ONE,21/07/2026,1
NATURAL ONE,22/07/2026,1
NATURAL ONE,23/07/2026,1
NATURAL ONE,24/07/2026,1
ROYAL FALCON,14/07/2026,1
ROYAL FALCON,20/07/2026,1
ROYAL FALCON,21/07/2026,1
ROYAL FALCON,22/07/2026,1
ROYAL FALCON,24/07/2026,1
SAIGON,14/07/2026,1
SAIGON,20/07/2026,1
SAIGON,21/07/2026,1
SAIGON,25/07/2026,1
STAR OF LIGHT,14/07/2026,1
STAR OF LIGHT,16/07/2026,1
STAR OF LIGHT,17/07/2026,1
STAR OF LIGHT,18/07/2026,1
STAR OF LIGHT,20/07/2026,1
STAR OF LIGHT,21/07/2026,1
STAR OF LIGHT,22/07/2026,1
STAR OF LIGHT,23/07/2026,1
STAR OF LIGHT,24/07/2026,1
STAR OF LIGHT,25/07/2026,1
