horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,10,METZINGER,Cougar Mountain(IRE),La Femme Fleur,4-4-7-4-12.,7y,b,g,Mr R Sathyaprakash & Mr Arvinth P,P Krishna,Vivek,61.5,,A,TS-BLK,63,63,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
2,3,SAPPHIRE,Saamidd(GB),Naughty Thoughts(IRE),1-8-11-3-1.,4y,b,g,Mr S Shaizada Khan,Mansoor Khan,Ankit Pal,59,,A,TS-CNB-EB,49,58,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
3,2,SILVER QUEST,Phoenix Tower(USA),Kissed By The Mist(USA),4-3-1-1-1.,4y,gr,f,Mr M Raghunath & Mr H S Chandre Gowda,K S Mandanna,Jitendra Singh,59,-5,A,TS,49,58,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
4,1,NEVADA GOLD,Gusto(GB),Just Gold,6-8-5-5-5.,6y,b,g,Mr Raja Malhotra,Mansoor Khan,Shamaz Shareef,58.5,,A,TS-BLK,59,57,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
5,6,SHEER ROCKS,Sanus Per Aquam(IRE),Sheer Class,7-5-12-6-8.,6y,b,g,Mr K Kaliyaperumal,J Sebastian,C A Brisson,58.5,,A,TS-SR,57,57,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
6,8,DIAMOND AND PEARLS,Smuggler's Cove(IRE),Soul Centric,6-2-5-9-7.,8y,b,g,"Mr Saif Hoosein Nensey, Mrs Nissa Hoosein Nensey, Mr Husain Sultan Ali Nensey",J Sebastian,Inayat,58,,A,BLK,58,56,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
7,11,ROYAL BARON,Saamidd(GB),Marisa Go(CAN),7-8-1-3-10.,7y,ch,g,Mrs Shirley M Bobby,M Bobby,Deepak Kumar,57.5,,A,TS-SR-DB,55,55,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
8,7,DOCTOR DOLLY,Kingda Ka(AUS),Jubilant,7-3-10-8-6.,5y,b,m,Mr Cowas D Bajan,Rakesh,C Umesh,56.5,,A,TS-BLK,0,53,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
9,12,NATURAL TORNADO,One Lucky Dane(USA),Influence,1-7-7-6-7.,7y,b,g,Mr Raja Malhotra,Mansoor Khan,K Rajesh,56,,A,TS-CNB,52,52,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
10,9,TAQDEER,Shifting Power(GB),Sea Song,9-7-12-10-9.,6y,b,r,Mr K Kamesh,H Zulquarnain,Mukesh Kumar (mys),54,,A,TS-CNB,50,48,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
11,5,AR SPRINT QUEEN,Western Aristocrat(USA),Never Ending,1-2-1-7-10.,5y,ch,m,Mr Akshesh Shailesh Trivedi,M Bobby,Anil Bandal,53.5,,A,TS,47,47,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
12,4,CLOUDY HILLS,Phoenix Tower(USA),Love Of Dubai(USA),6-6-3-2-2.,6y,b,m,Mr Rajendran rep. Rapar's Galloping Stars LLP,M Bobby,N Arvind Kumar,53.5,,A,TS-HD,44,47,8,The Varanasi Plate,Class 3 / Horses Rated 40 to 65,1400 M,05:00 PM,Winner:₹.287500 Second:₹.143750 Third:₹.71875 Fourth:₹.35940 Fifth:₹.21560 Sixth:₹.14375 Total:₹.575000,
