27 Jul 2026 | MYS | Excellent Star (Rb), Metzinger (Rb ), 59 600/41, Pair Un-Extended. | (-1) | 800m | Outer Sand
26 Jul 2026 | MYS | Metzinger (RB), (), 44 Handy | (-1) | 600M | Outer sand Track Work
12 Jul 2026 | MYS | Dakshin Vijay (Rb), Metzinger (Rb ), 1-14 800/56, 60/40 Pair Un-Extended. | (-1) | 1000m | Outer Sand
07 Jun 2026 | MYS | Metzinger (Rb ) 45 Handy. | (Even) | 600m | Outer Sand
05 Jun 2026 | MYS | Metzinger (Rb), Dufy (Rb ), 53 600/38, Pair Shaped Well. | (-7) | 800m | Outer Sand
22 May 2026 | MYS | Asio (S. Kabthar), Metzinger (R. Manish ), 1-24.67 1200-600: 44.425 600/40.246 3 lengths separated them. Remarks: First named was slow to jump out losing about 8 lengths at the start, second named jumped out well | (-5) | 1200M | Gate Practice
07 May 2026 | MYS | Metzinger (Rb), Shine ( Arise ), 57 600/40, Pair Moved Well. | (-3) | 800m | Outer Sand
30 Apr 2026 | MYS | Metzinger (RB), Arise and Shine (RB ), 44 Pair Improving | (-1) | 600M | Outer Sand
27 Jul 2026 | MYS | Sapphire (Ankit Pal ) 42 Handy. | (-3) | 600m | Outer Sand
26 Jul 2026 | MYS | Sapphire (Ankit Pal), (), 44 Easy | (-1) | 600M | Outer sand Track Work
23 Jul 2026 | MYS | Sapphire (Rb ) 1-04 800/50, 600/37, Moved Excellently, Note. | (-11) | 1000m | Outer Sand
16 Jul 2026 | MYS | Sapphire (Ankit Pal ) 1-05 800/49, 600/36, Retains Fine Form. | (-10) | 1000m | Outer Sand
15 Jul 2026 | MYS | Sapphire (Rb ) 1-15 800/59, 600/43, Retains Form. | (Even) | 1000m | Outer Sand
14 Jul 2026 | MYS | Amazing Sultan (Ankit Pal), Sapphire (K Rajesh ), 43 Pair Easy, Former Finished 5 Lengths Ahead, Latter Retains Form. | (-2) | 600m | Outer Sand
24 Jun 2026 | MYS | Sapphire (Ankit Pal ) 37 Slightly Extended. | (-8) | 600m | Outer Sand
22 Jun 2026 | MYS | Sapphire (Ankit Pal ) 1-29 1000/1.11, 800/55, 600/38, Moved Well | (-1) | 1200M | Outer Sand
31 May 2026 | MYS | Sapphire (RB ) 37 Moved Impressively | (-8) | 600M | Outer Sand
20 May 2026 | MYS | Sapphire (RB), Amazing Sultan (RB ), 1-09 800/52, 600/37, Pair Moved Impressively & to Note | (-6) | 1000M | Outer Sand
19 May 2026 | MYS | Sapphire (RB ) 1-00 600/43, Moved Freely | (Even) | 800M | Outer Sand
09 May 2026 | MYS | Sapphire (S G Prasad ) 1-13 800/55, 600/39, Worked Well. | (-2) | 1000m | Outer Sand
06 May 2026 | MYS | Sapphire (RB ) 1-15 800/56, 600/38, In Fine Shape | (Even) | 1000M | Outer Sand
02 May 2026 | MYS | Sapphire (RB ) 1-15 800/59, 600/44, Easy Throughout | (Even) | 1000M | Outer Sand
25 Apr 2026 | MYS | Sapphire (RB), Secret Shadow (RB ), 1-09 800/54, 600/40, Pair Shaped Well, Latter to Note | (-6) | 1000M | Outer Sand
18 Apr 2026 | MYS | Sapphire (RB ) 43 Handy | (-2) | 600M | Outer Sand
26 Jul 2026 | MYS | Silver Quest (RB), (), 1-13 800/54, 600/37, Retains Fine Form | (-2) | 1000M | Outer sand Track Work
21 Jul 2026 | MYS | Silver Quest (RB ) 42 Retains Form | (-3) | 600M | Outer Sand
27 Jun 2026 | MYS | Silver Quest (Faiz ) 43 Retains Form. | (-2) | 600m | Outer Sand
08 May 2026 | MYS | Silver Quest (Rb), Vandhiyathevan (Rb ), 39 Pair Moved Well. | (-6) | 600m | Outer Sand
28 Apr 2026 | MYS | Silver Quest (RB ) 58 600/42, Moved Well | (-2) | 800M | Outer Sand
25 Jul 2026 | MYS | Nevada Gold (Ankit Pal ) 38 Moved Well. | (-7) | 600m | Outer Sand
23 Jul 2026 | MYS | Knotty In Blue (Rb), Nevada Gold (Rb ), 1-00 600/43, Pair Moved Freely, Former Finished 2 Lengths Ahead. | (Even) | 800m | Outer Sand
17 Jul 2026 | MYS | Nevada Gold (Ankit Pal ) 1-23 1000/1-07, 800/52, 600/39, Moved Well, Note. | (-7) | 1200m | Outer Sand
14 Jul 2026 | MYS | Nevada Gold (Ankit Pal ) 1-11 800/55, 600/38, Moved Impressively. | (-4) | 1000m | Outer Sand
04 Jun 2026 | MYS | Nevada Gold (Rb ) 1-12 800/57, 600/42, Moved Freely. | (-3) | 1000m | Outer Sand
03 Jun 2026 | MYS | Nevada Gold (RB ) 1-10 800/53, 600/38, Worked Well. | (-5) | 1000M | Outer Sand
26 May 2026 | MYS | Natural Diamond (RB), Nevada Gold (RB ), 43 Pair Improving | (-2) | 600M | Outer Sand
20 May 2026 | MYS | Nevada Gold (RB), King Carlos (RB ), 57 600/40, Pair Un-Extended, Latter to Note | (-3) | 800M | Outer Sand
09 May 2026 | MYS | Nevada Gold (Ankit Pal ) 1-10 800/53, 600/38, Extended. | (-5) | 1000m | Outer Sand
23 Jul 2026 | MYS | Vishwas (S Inayat), Sheer Rocks (Jitender Singh ), 1-52.824/600-41-995/1600-600: 1-10.829 Distance: Neck separated them. | (-7) | 1600m | Gate Practice
23 Jul 2026 | MYS | Sheer Rocks () 1-12 800/58, 600/42, Un-Extended. | (-3) | 1000m | Outer Sand
21 Jul 2026 | MYS | Emperor Vikram (C. Brisson), Sheer Rocks (S. Inayat ), 43 Pair Moved Freely | (-2) | 600M | Outer Sand
11 Jul 2026 | MYS | Sheer Rocks (S F Ansari ) 38 Moved Impressively. | (-7) | 600m | Outer Sand
01 Jul 2026 | MYS | Sheer Rocks (B Nikil), Swarga (Rb ), 1-25 1000/1-08, 800/52, 600/38, Pair Moved Impressively. | (-5) | 1200m | Outer Sand
13 Jun 2026 | MYS | One Way Ticket (RB), Sheer Rocks (RB ), 1-14 800/57, 600/40, Pair Moved Well | (-1) | 1000M | Outer Sand
02 Jun 2026 | MYS | One Way Ticket (C Brisson), Sheer Rocks (Rb ), 52 600/38, Pair Shaped Well. | (-8) | 800m | Outer Sand
01 Jun 2026 | MYS | Sheer Rocks (Rb ) 1-00 600/44, Fit & Fine. | (Even) | 800m | Outer Sand
27 May 2026 | MYS | Sheer Rocks (Rb), Blazing Star (Rb ), 57 600/41 Pair Moved Well. | (-3) | 800m | Outer Sand
26 May 2026 | MYS | One Way Ticket (RB), Sheer Rocks (RB ), 58 600/43, Pair Easy, Former a length Ahead | (-2) | 800M | Outer Sand
19 May 2026 | MYS | Admiral Shaw (RB), Sheer Rocks (RB ), 1-08 800/52, 600/38, Pair Slightly Extended | (-7) | 1000M | Outer Sand
06 May 2026 | MYS | Blazing Star (RB), Sheer Rocks (RB ), 1-00 600/43, Pair Fit & Fine | (Even) | 800M | Outer Sand
18 Apr 2026 | MYS | Sheer Rocks (RB ) 48 Improving | (+3) | 600M | Outer Sand
25 Jul 2026 | MYS | Royal Baron (Rb ) 44 Fit & Fine. | (-1) | 600m | Outer Sand
19 Jul 2026 | MYS | Royal Baron (RB ) 43 Looks Fit | (-2) | 600M | Outer Sand
02 Jul 2026 | MYS | Royal Baron (Rb ) 41 Un-Extended. | (-4) | 600m | Outer Sand
13 Jun 2026 | MYS | Royal Baron (RB ) 57 600/40, Ignore Last Run | (-3) | 800M | Outer Sand
07 Jun 2026 | MYS | Royal Baron (A Bandaal ) 42 Moved Freely. | (-3) | 600m | Outer Sand
18 May 2026 | MYS | Royal Baron (RB ) 57 600/41, Moved Well | (-3) | 800M | Outer Sand
10 May 2026 | MYS | Royal Baron (Rb ) 1-15 800/56, 600/40, Moved Well. | (Even) | 1000m | Outer Sand
27 Apr 2026 | MYS | Royal Baron (RB ) 42 Looks Fit | (-3) | 600M | Outer Sand
19 Apr 2026 | MYS | Royal Baron (RB ) 58 600/41, Moved Freely | (-2) | 800M | Outer Sand
18 Apr 2026 | MYS | Royal Baron (RB), Elsa (RB ), 47 Pair Improving | (+2) | 600M | Outer Sand
27 Jul 2026 | MYS | Doctor Dolly (Rb ) 45 Easy. | (Even) | 600m | Outer Sand
02 Jul 2026 | MYS | Natural Tornado (Ankit Pal ) 43 Looks Fit. | (-2) | 600m | Outer Sand
28 Jun 2026 | MYS | Natural Tornado (K. Rajesh ) 1-12 800/55, 600/39, Moved Well | (-3) | 1000M | Outer Sand
13 Jun 2026 | MYS | Natural Tornado (Ankit Pal ) 38 Shaped Well | (-7) | 600M | Outer Sand
01 Jun 2026 | MYS | Natural Tornado (Rb ) 54 600/38, Moved Well. | (-6) | 800m | Outer Sand
31 May 2026 | MYS | Natural Tornado (Ankit Pal ) 1-15 800/56, 600/39 Moved Well | (Even) | 1000M | Outer Sand
24 May 2026 | MYS | Natural Tornado (Ankit Pal ) 1-11 800/54, 600/38, Slightly Extended | (-4) | 1000M | Outer Sand
10 May 2026 | MYS | Natural Tornado (Ankit Pal ) 1-14 800/55, 600/39, Extended. | (-1) | 1000m | Outer Sand
06 May 2026 | MYS | Natural Tornado (RB ) 1-15 800/56, 600/39, Shaped Well | (Even) | 1000M | Outer Sand
02 May 2026 | MYS | Natural Tornado (RB ) 45 Fit & Fine | (Even) | 600M | Outer Sand
25 Apr 2026 | MYS | Natural Tornado (RB ) 38 Worked Well | (-7) | 600M | Outer Sand
25 Jul 2026 | MYS | Taqdeer (Shah Alam ) 53 600/38, Extended. | (-7) | 800m | Outer Sand
27 Jun 2026 | MYS | Taqdeer (Rb ) 59 600/45 Improving. | (-1) | 800m | Outer Sand
14 Jun 2026 | MYS | Macron (Rb), Taqdeer (Rb ), 39 Former Moved Well & Finished 5 Lengths Ahead. | (-6) | 600m | Outer Sand
31 May 2026 | MYS | Taqdeer (RB ) 41 Moved Freely | (-4) | 600M | Outer Sand
23 May 2026 | MYS | Taqdeer (Rb ) 1-06 800/54, 600/39, Worked Well. | (-9) | 1000m | Outer Sand
04 May 2026 | MYS | Taqdeer (RB ) 1-14 800/59, 600/44, Easy Throughout | (-1) | 1000M | Outer Sand
28 Apr 2026 | MYS | Taqdeer (RB ) 59 600/45, Improving | (-1) | 800M | Outer Sand
21 Apr 2026 | MYS | Taqdeer (RB ) 1-13 800/59, 600/46, Fit & Fine | (-2) | 1000M | Outer Sand
25 Jul 2026 | MYS | Ar Sprint Queen (A Bandaal ) 42 Looks Fit. | (-3) | 600m | Outer Sand
28 Jun 2026 | MYS | AR Sprint Queen (A. Bandaal ) 1-14 800/56, 600/39, Slightly Extended | (-1) | 1000M | Outer Sand
20 Jun 2026 | MYS | Ar Sprint Queen (A Bandaal ) 1-14 800/56, 600/39, Moved Well. | (-1) | 1000m | Outer Sand
29 May 2026 | MYS | AR Sprint Queen (RB ) 42 Moved Freely | (-3) | 600M | Outer Sand
21 May 2026 | MYS | Ar Sprint Queen (A Bandaal ) 53 600/39, Moved Well. | (-7) | 800m | Outer Sand
06 May 2026 | MYS | AR Sprint Queen (RB ) 43 Improving | (-2) | 600M | Outer Sand
25 Jul 2026 | MYS | Cloudy Hills (R Shiv Kumar ) 57 600/38, Moved Well. | (-3) | 800m | Outer Sand
18 Jul 2026 | MYS | Cloudy Hills (Bharat Mal ) 43 Un-Extended. | (-2) | 600m | Outer Sand
03 Jul 2026 | MYS | Always for You (Faiz), Cloudy Hills (Bharat Mal ), 1-31.79 1200-600: 46.77, 600/45.12 5 lengths separated them. Remarks: Both jumped out well | (+1) | 1200M | Gate Practice
20 Jun 2026 | MYS | Cloudy Hills (Rb ) 1-13 800/56, 600/40, Un-Extended. | (-2) | 1000m | Outer Sand
06 Jun 2026 | MYS | Cloudy Hills (Rb ) 59 600/41, Looks Fit. | (-1) | 800m | Outer Sand
24 May 2026 | MYS | Cloudy Hills (Bharat Mal ) 1-09 800/54, 600/40, Worked Well | (-6) | 1000M | Outer Sand
19 May 2026 | MYS | Cloudy Hills (RB ) 45 Easy | (Even) | 600M | Outer Sand
09 May 2026 | MYS | Cloudy Hills (Rb ) 1-00 600/43, Moved Freely. | (Even) | 800m | Outer Sand
02 May 2026 | MYS | Red Falcon (RB), Cloudy Hills (R. Shiv Kumar ), 40 Pair Un-Extended | (-5) | 600M | Outer Sand
27 Apr 2026 | MYS | Cloudy Hills (RB ) 44 Easy | (-1) | 600M | Outer Sand
25 Apr 2026 | MYS | Cloudy Hills (RB ) 59 600/43, Fit & Fine | (-1) | 800M | Outer Sand
