21 Jul 2026 | PUN | Fighton (Parmar ) 51 600 36, Speedy display. | (-9) | 800M | Inner Sand
17 Jul 2026 | PUN | Fighton (P.Dhebe ) 1-08 800 53, 600 39, Easy. | (-7) | 1000M | Inner Sand
10 Jul 2026 | PUN | Fighton (Ranjane ) 52 600 39, Shaped well. | (-8) | 800M | Inner Sand
30 Jun 2026 | PUN | Fighton (rb ) 52 600 38, Moved well | (-8) | 800M | Inner Sand
17 Jul 2026 | PUN | Scaramouche (T.S.Jodha ) 1-08 800 53, 600 40, Easy. | (-7) | 1000M | Inner Sand
20 Jul 2026 | PUN | Encino (Sandesh ) 50 600 36, Moved attractively. | (-10) | 800M | Inner Sand
30 Jun 2026 | BAN | Encino (A Sandesh ) 41.5 Impressed. | (-3) | 600m | Outer Sand
21 Jun 2026 | BAN | Encino (Aleemuddin), Golden Hues (Aditya Waydande), Old Fashioned (Ramswarup), Victor Hugo (Anish Hangal), Darringer (Pavan ), 1-21.06 Won By:10,Lnk,6,10 3/4 1st Named Impressed And Last Named Watch Throughout Handy. | (-15) | 1300m | Mock Race
17 Jun 2026 | BAN | Encino (A Sandesh ) 1-27 1000 In 1-10.5, 600 In 41.5 Impressed. | (-3) | 1200m | Outer Sand
31 May 2026 | BAN | Encino (Md Akram), Avener (A Sandesh), 1-11 400 in 42 latter pushed and finished level. | (-4) | 1000M | Outer Sand
29 May 2026 | BAN | Encino (Md Akram), Avener (A Sandesh ), 44.5 They Level. | (+0) | 600m | Outer Sand
21 May 2026 | BAN | Encino (Aleemuddin ) 1-10.5 600 In 41 Stretched Out Well. | (-4) | 1000m | Outer Sand
20 Jul 2026 | PUN | Son Of A Gun (Avinash ) 1-09 800 55, 600 41, Easy. | (-6) | 1000M | Inner Sand
13 Jul 2026 | PUN | Golden Axl (J.Chinoy), Son Of A Gun (Nazil ), 52 600 40, Former started 3Ls & finished dist ahead. | (-8) | 800M | Inner Sand
18 Jul 2026 | PUN | Cellini (Omkar ) 51 600 37, Pleased. | (-9) | 800M | Inner Sand
16 Jul 2026 | PUN | Cellini (T.S.Jodha ) 52 600 39, Unextended. | (-8) | 800M | Inner Sand
10 Jul 2026 | PUN | Cellini (Omkar ) 53 600 39, Moved freely. | (-7) | 800M | Inner Sand
30 Jun 2026 | PUN | Cellini (Omkar ) 54 600 39, Moved freely. | (-6) | 800M | Inner Sand
27 Jun 2026 | PUN | Cellini (T.S.Jodha ) 39 Unextended. | (-6) | 600M | Inner Sand
21 Jul 2026 | PUN | Bee Magical (Neeraj ) 54 600 40, Easy. | (-6) | 800M | Inner Sand
17 Jul 2026 | PUN | Bee Magical (Yash), Minari (Neeraj ), 1-21 1000 1-08, 800 54, 600 41, Former finished a length ahead. | (-9) | 1200M | Inner Sand
11 Jul 2026 | PUN | Snow Girl (Shelar), Bee Magical (Hamir ), 1-10 800 55, 600 43, Pair easy. | (-5) | 1000M | Inner Sand
10 Jul 2026 | PUN | Bright Button (Hamir), Bee Magical (C.S.Jodha ), 42 Pair level. | (-3) | 600M | Inner Sand
02 Jul 2026 | PUN | Snow Girl (Mosin), Bee Magical (Hamir S ), 53 600 39, Pair moved nicely. | (-7) | 800M | Inner Sand
21 Jul 2026 | PUN | Jaandaar (Kirtish), Bishop (Siddharth ), 54 600 40, Pair moved together. | (-6) | 800M | Inner Sand
20 Jul 2026 | PUN | Jaandaar (Kirtish), Bishop (Siddharth ), 57 600 43, Pair easy. | (-3) | 800M | Inner Sand
18 Jul 2026 | PUN | Shaandaar (Yash), Bishop (Siddharth ), 1-09 800 53, 600 39, Pair moved together. | (-6) | 1000M | Inner Sand
