21 Jul 2026 | HYD | Dubai Touch (Ajay Kumar ) 1-0 600/45 shaped well. | (Even) | 800m | Sand
10 Jul 2026 | HYD | Hanumanmahabala (Santhosh Raj), Dubai Touch (Md Ismail ), 1-0 600/45, pair handy. | (Even) | 800m | Sand
21 Jul 2026 | HYD | Knight Crusader (RB), Arion One (RB ), 59 600/44, pair worked well. | (-1) | 800m | Sand
14 Jul 2026 | HYD | Arion One (BR Kumar), Queen Eternal (RB ), 59 600/44, pair finished level. | (-1) | 800m | Sand
10 Jul 2026 | HYD | N R I Ultrapower (RB), Arion One (RB ), 1-0 600/45, moved together. | (Even) | 800m | Sand
07 Jul 2026 | HYD | N R I Ultrapower (App), Arion One (RB ), 1-2 600/46, former moved well. | (+2) | 800m | Sand
18 Jul 2026 | HYD | Arthisha (Rb), Chanced One (Afroz Khan ), 1-0 600/45, Pair Finished Level. | (Even) | 800m | Sand
09 Jul 2026 | HYD | Arthisha (K Mukesh), Amigo (RB ), 1-0 600/46, pair finished level. | (Even) | 800m | Sand
14 Jul 2026 | HYD | Yali (Abhay Singh), Turiya (RB ), 58 600/44, pair shaped well. | (-2) | 800m | Sand
24 Jul 2026 | HYD | Dashing Charm (Surya Prakash ) 57 600/43, Pleased. | (-3) | 800m | Sand
18 Jul 2026 | HYD | Dashing Charm (App ) 57 600/43, Good. | (-3) | 800m | Sand
14 Jul 2026 | HYD | Dashing Charm (App ) 58 600/43, good. | (-2) | 800m | Sand
16 Jul 2026 | HYD | First Lady (App ) 1-2 600/45, Unextended. | (+2) | 800m | Sand
23 Jul 2026 | HYD | Sweet Dancer (P Ajeeth K ) 58 600/44, Moved Well. | (-2) | 800m | Sand
