24 Jul 2026 | HYD | Walking Thunder (Surya Prakash ) 57 600/43, Looks Well. | (-3) | 800m | Sand
18 Jul 2026 | HYD | Walking Thunder (Surya Prakash ) 58 600/44, Good. | (-2) | 800m | Sand
14 Jul 2026 | HYD | Zorba (Surya Prakash), Walking Thunder (App ), 58 600/44, pair worked well. | (-2) | 800m | Sand
07 Jul 2026 | HYD | Walking Thunder (App ) 1-2 600/46, moved easy. | (+2) | 800m | Sand
22 Jul 2026 | HYD | Calista Babe (B Nikhil), Calista Girl (Gaurav Singh ), 58 600/44 Pair Unextended. | (-2) | 800m | Sand
21 Jul 2026 | HYD | D Minchu (Deepak Singh ) 59 600/44 good. | (-1) | 800m | Sand
14 Jul 2026 | HYD | D Minchu (Deepak Singh ) 59 600/44, moved well. | (-1) | 800m | Sand
10 Jul 2026 | HYD | D Minchu (RB ) 1-18 800/1-2, 600/46, handy. | (+3) | 1000m | Sand
21 Jul 2026 | HYD | N R I High Power (Kuldeep Singh ) 1-0 600/46 well in hand. | (Even) | 800m | Sand
18 Jul 2026 | HYD | Ashoka (App), N R I High Power (App ), 59 600/44, Former Handy. | (-1) | 800m | Sand
11 Jul 2026 | HYD | Ayushman (Kuldeep Singh), N R I High Power (App ), 59 600/45 Former Finished 2l In Front. | (-1) | 800m | Sand
09 Jul 2026 | HYD | Ayushman (App), N R I High Power (K Mukesh ), 59 600/44, former good. | (-1) | 800m | Sand
07 Jul 2026 | HYD | Pedal To The Metal (App), N R I High Power (App ), 1-0 600/46, pair finished level. | (Even) | 800m | Sand
24 Jul 2026 | HYD | Proud Mary (G Naresh ) 58 600/45, Good. | (-2) | 800m | Sand
