25 Jul 2026 | HYD | Black Dust (Ajay Kumar ) 1-2 600/45, Handy. | (+2) | 800m | Sand
21 Jul 2026 | HYD | Menlo Park (P Sai Kumar), Black Dust (Ajay Kumar ), 1-2 600/45, pair finished level. | (+2) | 800m | Sand
10 Jul 2026 | HYD | Black Dust (Ajay Kumar ) 1-2 600/46, moved easy. | (+2) | 800m | Sand
22 Jul 2026 | HYD | Classy Touch (Md Ismail), Glorious Power (Rb ), 1-0 600/46, Pair Unextended. | (Even) | 800m | Sand
16 Jul 2026 | HYD | Hurricane Wave (Afroz Khan), Glorious Power (App ), 1-0 1200/400 Moved Together. | (Even) | 800m | Sand
10 Jul 2026 | HYD | Emerald Touch (Md Ismail), Glorious Power (RB ), 1-0 600/45, pair finished level. | (Even) | 800m | Sand
23 Jul 2026 | HYD | Torchbearer (App), Knight Regent (Surya Prakash ), 57 600/43, A Fit Pair. | (-3) | 800m | Sand
18 Jul 2026 | HYD | Torchbearer (Kuldeep Jr), Tootsie Darling (P Ajeeth K ), 58 600/44, Pair Worked Well. | (-2) | 800m | Sand
15 Jul 2026 | HYD | Torchbearer (App), Linda (Surya Prakash ), 58 600/44, A Fit Pair. | (-2) | 800m | Sand
23 Jul 2026 | HYD | Golden Gazelle (Afroz Khan ) 1-18 800/1-0, 600/45, Moved Well. | (+3) | 1000m | Sand
18 Jul 2026 | HYD | Golden Gazelle (Afroz Khan ) 59 600/45, Well In Hand. | (-1) | 800m | Sand
10 Jul 2026 | HYD | Golden Gazelle (Afroz Khan ) 1-0 600/45, urged-a-bit. | (Even) | 800m | Sand
23 Jul 2026 | HYD | China Town (P Ajeeth K ) 57 600/43, Good. | (-3) | 800m | Sand
21 Jul 2026 | HYD | China Town (App ) 1-0 600/45 moved well. | (Even) | 800m | Sand
18 Jul 2026 | HYD | China Town (P Ajeeth K ) 58 600/44, Looks Well. | (-2) | 800m | Sand
09 Jul 2026 | HYD | China Town (P Ajeeth K ) 58 600/44, looks well. | (-2) | 800m | Sand
24 Jul 2026 | HYD | Armstrong (Aa Vikrant ) 58 600/44, Good. | (-2) | 800m | Sand
19 Jul 2026 | HYD | Armstrong (AA Vikrant ) 57 600/42 can upset. | (-3) | 800M | Sand
16 Jul 2026 | HYD | Armstrong (Aa Vikrant ) 1-0 600/45, Handy. | (Even) | 800m | Sand
09 Jul 2026 | HYD | Armstrong (RB), Arizona Sun (RB ), 1-0 600/45, former moved well. | (Even) | 800m | Sand
24 Jul 2026 | HYD | Ojas Maximus (Aa Vikrant), Clara (App ), 59 600/44, Pair Looks Well. | (-1) | 800m | Sand
11 Jul 2026 | HYD | Ojas Maximus (Rb), Clara (Rb ), 1-1 600/45 Pair Moved Well. | (+1) | 800m | Sand
22 Jul 2026 | HYD | One Nation (Deepak Singh), Wolf Creek (Br Kumar ), 1-15 800/59, 600/45, Pair Finished Level. | (Even) | 1000m | Sand
14 Jul 2026 | HYD | One Nation (BR Kumar), Wolf Creek (RB ), 59 600/44, former moved well. | (-1) | 800m | Sand
02 Jul 2026 | BAN | Corinthian (Shreyas S ) 1-27 1000/1-12 600/42.5 Good. | (-3) | 1200M | Outer Sand
23 May 2026 | BAN | Corinthian (Trevor Patel ) 1-8 600 In 40 Extended. | (-7) | 1000m | Inner Sand
02 May 2026 | BAN | Corinthian (Trevor Patel ) 1-40.5 1200 In 1-24.5 1000 In 1-9.5 600 In 42.5 Impressed. | (-4) | 1400m | Outer Sand
20 Apr 2026 | BAN | Corinthian (P.Trevor ) 1-42 1200/1-25.5 1000/1-10.5 600/41.5 Stretched out well. | (-3) | 1400M | Outer Sand
13 Apr 2026 | BAN | Corinthian (P Trevor ) 1-24.5 1000/1-9.5 600/42 An Impressive Display. | (-5) | 1200m | Outer Sand
07 Apr 2026 | BAN | Corinthian (Indrajeet S ) 1-21.5 1000/1-6.5 600/40. Impressed. | (-8) | 1200M | Inner Sand
18 Jul 2026 | HYD | N R I Range (Afroz Khan ) 1-0 600/45, Handy. | (Even) | 800m | Sand
10 Jul 2026 | HYD | N R I Range (RB ) 1-0 600/45, moved well. | (Even) | 800m | Sand
24 Jul 2026 | HYD | Lifes Journey (G Naresh), Cuartetera (Gaurav Singh ), 1-18 800/1-1, 600/47, Pair Moved Easy. | (+3) | 1000m | Sand
