horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,9,CALISTOGA,Dali(USA),Abdicate(IRE),4-3-5-10-6.,5y,dkb,g,Mr Syed Shah Faisal Hassan,S S F Hassan,Md Ismail,62.5,,A,BLK,70,65,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
2,1,BEST BUDDY,Planetaire(GB),Change Tack(USA),9-12-13-6-5.,8y,gr,h,Mr Hari Sharan Devgan,K Satheesh,Md Ekram Alam,60,,A,BB,63,60,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
3,10,RIVAL,Sanus Per Aquam(IRE),Apparition,3-2-7-4-4.,6y,b,g,Mr Sanjay R Goyani & Mr S Prasad Raju,K S V Prasad Raju,Ajay Kumar,59.5,,S,TS-BLK,61,59,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
4,8,AYUSHMAN,Dreamfield(GB),On Fleek,2-4-6-1-2.,4y,b,g,"Mr Suchit Jayraj Shah, The Estate of Late Mr Rajesh Sanghani & Mr Mirza Ayub Baig",D Netto,Kuldeep Singh,57.5,,A,TS-XNB,54,55,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
5,3,FOXY GIRL,Well Done Fox(GB),Secret Pursuit,3-1-3-3-2.,4y,b,f,"Mr Ashok Kumar Gupta, Mr Vishal Gupta & Mr Meka Nitish Reddy",M Srinivas Reddy,Kuldeep Singh (jr),56,-2.5,A,TS-XNB,49,52,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
6,6,COLT PISTOL,Saamidd(GB),Faustina,6-7-7-1-11.,6y,b,g,Mr Maddali Sai Kumar,G Shashikanth,Rafique Sk,55.5,,A,TS-HB,53,51,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
7,2,SEE THE LIGHT,Dali(USA),Confiance,2-3-4-2-3.,4y,b,f,Mr C Aryama Sundaram,R H Sequeira,Akshay Kumar,55,,A,TS-XNB,50,50,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
8,7,FLYING FURY,Smuggler's Cove(IRE),Fiorelle,3-5-2-1-4.,5y,b,g,Mr Hussein Sultanali Nensey,Robin R Kondakalla,G Naresh,52,,A,TS,49,44,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
9,4,JURAMENTO,Oath(IRE),Starynessey,7-2-11-12-10.,7y,b,g,Mrs T Rohini,M F Ali Khan,Surya Prakash,52,,S,TS-SCP,46,44,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
10,5,FEEL THE MAGIC,Ampere(FR),Zazou,6-2-5-1-2.,4y,dkb,f,Mr Ravi Dunu Meghawat,Magan Singh,B Nikhil,50,,S,,38,40,8,The Firecrest Plate Div-1,"Class 3 / A Handicap For Horses Rated 40 To 65, 3 Year Olds And Upward (Cat-2) (Whips Not Allowed)",1100 M,05:05 PM,Winner:₹.333000 Second:₹.185000 Third:₹.148000 Fourth:₹.37000 Fifth:₹.22200 Sixth:₹.14800 Total:₹.740000,
