25 Jul 2026 | MYS | Pilot Officer (Rb), Perfect Blend (Rb ), 1-20 1000/1-06, 800/53, 600/40, Pair In Fine Shape, Former Finished 2 Lengths Ahead. | (-10) | 1200m | Outer Sand
23 Jul 2026 | MYS | Pilot Officer (Rb ) 57 600/41, Un-Extended. | (-3) | 800m | Outer Sand
05 Jul 2026 | MYS | Pilot Officer (Rb), Perfect Blend (Rb ), 1-05 800/51, 600/38 Pair Worked Well, Former Retains Fine Form. | (-10) | 1000m | Outer Sand
21 Jun 2026 | MYS | Pilot Officer (B. Nikil), Our Asset (RB ), 1-06 800/51, 600/37, Former Moved Attractively & Finished a Length Ahead | (-9) | 1000M | Outer Sand
20 Jun 2026 | MYS | Perfect Blend (Rb), Pilot Officer (Rb ), 1-12 800/55, 600/38, Pair Moved Impressively. | (-3) | 1000m | Outer Sand
07 Jun 2026 | MYS | Pilot Officer (S Imran), Splendido (Rb ), 1-07 800/52, 600/39, Former Extended & Finished 4 Lengths Ahead, Latter Easy. | (-8) | 1000m | Outer Sand
03 Jun 2026 | MYS | Perfect Blend (RB), Pilot Officer (S Imran ), 1-23 1000/1-06, 800/52, 600/40, Pair Shaped Well. | (-7) | 1200M | Outer Sand
27 Jul 2026 | MYS | Ignorance Is Bliss (Rb), Give A Spin (Rb ), 45 Pair Fit & Fine. | (Even) | 600m | Outer Sand
23 Jul 2026 | MYS | Break Away (Riding Boy), Give a Spin (A Mhatre ), 2-0.209/600-41-171/1600-600: 1-19.031 Distance: ½ a length separated them. | (+0) | 1600m | Gate Practice
10 Jul 2026 | MYS | Smile of Beauty (P.K. Manji), Give a Spin (A. Mhatre ), 1-32.52 1200-600: 48.34, 600/43.90 Distance separated them. Remarks: Both jumped out well | (+2) | 1200M | Gate Practice
26 Jul 2026 | MYS | Crazy Love (RB), The Killer (A. Mhatre ), 1-11 800/54, 600/39 Pair Moved Well | (-4) | 1000M | Outer sand Track Work
04 Jul 2026 | MYS | The Killer (A Mhatre), Nizbati Queen (G R Urs ), 1-09 800/53, 600/39 Pair Moved Well, Latter To Note. | (-6) | 1000m | Outer Sand
17 Jun 2026 | MYS | River Of Gold (Md Talib), Pearl Of Mysore (Faiz), Mandolin (Laxman Singh), Raise A Sound (Lave Kumar), Azkaban (N Darshan), The Killer (A Mhatre), Starlight Whisper (Jitendra Singh), Azmanah (Ankush ), 1-13.699/600-34.870/1200-600: 38.429 Distance: 3 Lengths, ½ A Length, Long Neck, ½ A Length, 6 Lengths, 2 Lengths & 20 Lengths Separated Them. | (-16) | 1200m | Mock Race
13 Jun 2026 | MYS | The Killer (A. Mhatre ) 38 Worked Well | (-7) | 600M | Outer Sand
15 May 2026 | MYS | Czarevitch (Riding Boy), The Killer (A Mhatre ), 1-18.752 44.616, 2.03.368 Neck Separated Them, Remarks: Both Jumped Out Well. | (+18) | 800m | Gate Practice
25 Apr 2026 | MYS | The Killer (A.Mhatre), Ignorance is Bliss (G.R. Urs ), 1-12 800/55, 600/40, Pair Shaped Well | (-3) | 1000M | Outer Sand
18 Apr 2026 | MYS | Amazing Joy (RB), The Killer (RB ), 45 Pair Improving | (Even) | 600M | Outer Sand
