horse_number,gate_draw_number,horse_name,sire,dam,last_5_runs,age,colour,sex,owner,trainer,jockey,weight_declared,weight_allowance,shoe_type,equipments,previous_rating,current_rating,race_number,race_name,race_condition,race_distance,race_time,race_stakes,medical_history
1,5,WALTER,Leitir Mor(IRE),Retained,3-7-4-2-2.,7y,dkb,g,Mr Rupesh Vijay Kolhapur,Vinesh V Naik,Antony Raj S,60,,A,CB,34,36,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
2,3,MARENAD BEAUTY,Ivory Touch(USA),Simply Shining,9-9-10-8-10.,8y,ch,m,Mrs Manasa Thimmaiah,Dhyan Subbaiah,H Rahul,59.5,,A,DB,35,35,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
3,6,POLAR WIND,Tale Of A Champion(USA),Queens Solitaire,2-3-3-10-5.,6y,b,m,Mr B Vijay,C D Monnappa,Faiz,59,-2.5,A,TS-EBB,36,34,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
4,8,AUTHENTIC BELL,Lord Admiral(USA),Eros Royal Bell,6-5-1-4-8.,7y,b,m,Mr J Yogesh,J Ganesh,S Imran,58,,A,TS-CNB,34,32,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
5,4,NATURAL QUEEN,David Livingston(IRE),Morning News(IRE),3-1-1-5-3.,6y,dkb,m,Mr Raja Malhotra,Mansoor Khan,Ankit Pal,58,,A,BLK,30,32,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
6,9,MARZGOVEL,Phoenix Tower(USA),Lady In Lace,3-7-4-9-5.,6y,b,g,Mr M P Biddappa,M M Uthaiah,K Sai Kiran,57,,A,TS-BLK,38,30,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
7,11,SNEHA LATHA,Declaration Of War(IRE),Five Satins(IRE),3-8-4-8-10.,6y,b,m,Mr S Girish,Bipin V Salvi,P Trevor,57,,A,TS-BLK,36,30,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
8,12,O MANCHALI,Top Class(USA),Sylvana,11-6-7-7-7.,7y,b,m,Mr Rakesh & Mr H Manjunatha,Rakesh,Inayat,56.5,,A,,31,29,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
9,10,TRUTH IN WINE,Ampere(FR),Je Suis,5-8-11-5-2.,6y,b,m,Mr Jose Joseph,K Aditya,Dharshan Antony B,56.5,,A,,27,29,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
10,2,HASTING SUNRISE,Western Aristocrat(USA),Nimfea,5-5-2-2-2.,7y,dkb,m,Mr K V Sridhara,G T Surender,Anish Hangal,56,-5,A,TS-RDB,26,28,2,The Ashwajaya Plate Div-2,"Class 4 / Horses Rated 20 to 45, 5 Years Old and Over",1400 M,02:00 PM,Winner:₹.225000 Second:₹.112500 Third:₹.56250 Fourth:₹.28130 Fifth:₹.16870 Sixth:₹.11250 Total:₹.450000,
