25 Jul 2026 | MYS | Walter (Brijesh Kumar ) 1-09 800/51, 600/37, Ignore Last Run. | (-6) | 1000m | Outer Sand
24 Jul 2026 | MYS | Walter (RB ) 45 Handy. | (Even) | 600M | Outer Sand
19 Jul 2026 | MYS | Walter (RB ) 43 Ignore Last Run | (-2) | 600M | Outer Sand
26 Jun 2026 | MYS | Walter (Brijesh Kumar ) 1-11 800/53, 600/38, Ignore Last Run. | (-4) | 1000m | Outer Sand
24 Jun 2026 | MYS | Walter (Brijesh Kumar ) 42 Un-Extended. | (-3) | 600m | Outer Sand
20 Jun 2026 | MYS | Walter (Brijesh Kumar ) 41 Un-Extended. | (-4) | 600m | Outer Sand
06 Jun 2026 | MYS | Walter (Brijesh Kumar ) 1-12 800/56, 600/39, Shaped Well. | (-3) | 1000m | Outer Sand
31 May 2026 | MYS | Walter (Brijesh Kumar ) 38 Worked Well | (-7) | 600M | Outer Sand
22 May 2026 | MYS | Walter (RB ) 52 600/38, Moved Attractively | (-8) | 800M | Outer Sand
17 May 2026 | MYS | Walter (Rb ) 1-15 800/55, 600/39 Worked Well. | (Even) | 1000m | Outer Sand
07 May 2026 | MYS | Walter (Brijesh Kumar ) 45 Easy. | (Even) | 600m | Outer Sand
03 May 2026 | MYS | Walter (Brijesh Kumar ) 1-09 800/53, 600/39, Moved Well | (-6) | 1000M | Outer Sand
26 Apr 2026 | MYS | Walter (RB ) 1-10 800/54, 600/39, Shaped Well | (-5) | 1000M | Outer Sand
19 Apr 2026 | MYS | Walter (Brijesh Kumar ) 1-12 800/54, 600/39, Worked Well | (-3) | 1000M | Outer Sand
18 Apr 2026 | MYS | Walter (Brijesh Kumar ) 46 Fit & Fine | (+1) | 600M | Outer Sand
27 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 44 Easy. | (-1) | 600m | Outer Sand
25 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 38 Moved Well. | (-7) | 600m | Outer Sand
21 Jul 2026 | MYS | Marenad Beauty (H. Rahul ) 1-10 800/55, 600/40 Moved Well | (-5) | 1000M | Outer Sand
18 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 1-13 800/55, 600/39, Looks Fit. | (-2) | 1000m | Outer Sand
17 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 44 Fit & Fine. | (-1) | 600m | Outer Sand
16 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 1-13 800/58, 600/42, Fit & Fine. | (-2) | 1000m | Outer Sand
04 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 1-11 800/54, 600/38 Moved Well. | (-4) | 1000m | Outer Sand
03 Jul 2026 | MYS | Marenad Beauty (H. Rahul ) 1-00 600/44, Improving. | (Even) | 800M | Outer Sand
02 Jul 2026 | MYS | Marenad Beauty (H Rahul ) 1-00 600/43, Fit & Fine. | (Even) | 800m | Outer Sand
28 Jun 2026 | MYS | Marenad Beauty (RB ) 43 Fit & Fine | (-2) | 600M | Outer Sand
26 Jun 2026 | MYS | Marenad Beauty (H Rahul ) 59 600/43, Slightly Extended. | (-1) | 800m | Outer Sand
24 Jun 2026 | MYS | Marenad Beauty (H Rahul ) 58 600/42, Looks Fit. | (-2) | 800m | Outer Sand
22 Jun 2026 | MYS | Marenad Beauty (RB ) 1-15 800/59, 600/42, Looks Fit | (Even) | 1000M | Outer Sand
20 Jun 2026 | MYS | Marenad Beauty (H Rahul ) 43 Looks Fit. | (-2) | 600m | Outer Sand
05 Jun 2026 | MYS | Saigon (A Bandaal), Marenad Beauty (S G Prasad ), 1-29.059/600-42.096/1200-600: 45.863 Distance: Distance Separated Them. | (+0) | 1200m | Gate Practice
01 Jun 2026 | MYS | Marenad Beauty (S G Prasad ) 41 Moved Freely. | (-4) | 600m | Outer Sand
29 May 2026 | MYS | Marenad Beauty (RB ) 44 Fit & Fine | (-1) | 600M | Outer Sand
23 May 2026 | MYS | Marenad Beauty (Rb ) 57 600/41, Looks Fit. | (-3) | 800m | Outer Sand
19 May 2026 | MYS | Marenad Beauty (RB ) 45 Improving | (Even) | 600M | Outer Sand
27 Jul 2026 | MYS | Polar Wind (Faiz ) 42 Looks Fit. | (-3) | 600m | Outer Sand
24 Jul 2026 | MYS | Polar Wind (Faiz ) 41 Moved Well. | (-4) | 600M | Outer Sand
21 Jul 2026 | MYS | Polar Wind (RB ) 44 Fit & Fine | (-1) | 600M | Outer Sand
12 Jul 2026 | MYS | Polar Wind (Faiz ) 37 Moved Impressively. | (-8) | 600m | Outer Sand
03 Jul 2026 | MYS | Polar Wind (Faiz ) 1-12 800/56, 600/40, Moved Well | (-3) | 1000M | Outer Sand
05 Jun 2026 | MYS | Polar Wind (Faiz), Albanian (Riding Boy ), 1-28.797/600-40.075/1200-600: 48.722 Distance: 5 Lengths Separated Them. | (-1) | 1200m | Gate Practice
20 May 2026 | MYS | Polar Wind (Faiz ) 1-12 800/54, 600/38, Shaped Well | (-3) | 1000M | Outer Sand
17 May 2026 | MYS | Polar Wind (Faiz ) 42 Fit & Fine. | (-3) | 600m | Outer Sand
20 May 2026 | MYS | Authentic Bell (RB ) 58 600/42, Looks Fit | (-2) | 800M | Outer Sand
25 Jul 2026 | MYS | Natural Queen (Ankit Pal ) 1-12 1000/1-08, 800/53, 600/38, Ignore Last Run. | (-18) | 1200m | Outer Sand
27 Jun 2026 | MYS | Natural Queen (Rb ) 1-27 1000/1.09, 800/54, 600/39 Retains Great Form. | (-3) | 1200m | Outer Sand
31 May 2026 | MYS | Natural Queen (Ankit Pal ) 1-14 800/56, 600/39 Moved Well | (-1) | 1000M | Outer Sand
24 May 2026 | MYS | Natural Queen (Ankit Pal ) 54 600/38, Extended | (-6) | 800M | Outer Sand
09 May 2026 | MYS | Natural Queen (Ankit Pal ) 1-14 800/56, 600/39, Slightly Extended. | (-1) | 1000m | Outer Sand
25 Apr 2026 | MYS | Natural Queen (RB), Natural One (RB ), 56 600/40, Pair Moved Well | (-4) | 800M | Outer Sand
18 Apr 2026 | MYS | Natural Queen (RB ) 43 Handy | (-2) | 600M | Outer Sand
27 Jul 2026 | MYS | Marzgovel (Rb ) 43 Moved Freely. | (-2) | 600m | Outer Sand
19 Jul 2026 | MYS | Marzgovel (RB ) 1-22 1000/1.05, 800/50, 600/36, Strode Out Well | (-8) | 1200M | Outer Sand
12 Jul 2026 | MYS | Marzgovel (Rb ) 42 Improving. | (-3) | 600m | Outer Sand
09 Jul 2026 | MYS | Marzgovel (RB ) 1-14 800/57, 600/40, Looks Fit | (-1) | 1000M | Outer Sand
01 Jul 2026 | MYS | Albinus (Faiz), Iron Clad (A Mhatre), Time For Victory (Ankush), Mysore Pak (M Prabhu Kumar), Marzgovel (Jitendra Singh), Absolute Gold (Vishal Shivhare), Azmanah (Lave Kumar ), 1-26.571/600-337.118/1400-600: 49.166 Distance: Long Neck, 19 ¾ Of A Length, 1 ¾ Of A Length, 1 ¾ Of A Length, 52 ¼ Length & 16 Lengths Separated Them. | (-18) | 1400m | Mock Race
28 Jun 2026 | MYS | Marzgovel (RB ) 1-08 800/52, 600/38, Looks Fit | (-7) | 1000M | Outer Sand
07 Jun 2026 | MYS | Marzgovel (Rb ) 1-29 1000/1-13, 800/58, 600/43, Fit & Fine. | (-1) | 1200m | Outer Sand
01 Jun 2026 | MYS | Marzgovel (Rb ) 1-00 600/43, Slightly Extended. | (Even) | 800m | Outer Sand
17 May 2026 | MYS | Marzgovel (Rb ) 44 Easy. | (-1) | 600m | Outer Sand
10 May 2026 | MYS | Marzgovel (Rb ) 57 600/38, Slightly Extended. | (-3) | 800m | Outer Sand
