horse,date,swim_count
ALWAYS FOR YOU,14/07/2026,1
ALWAYS FOR YOU,17/07/2026,1
ALWAYS FOR YOU,20/07/2026,1
ALWAYS FOR YOU,21/07/2026,1
ALWAYS FOR YOU,22/07/2026,1
ALWAYS FOR YOU,23/07/2026,1
ALWAYS FOR YOU,24/07/2026,1
ALWAYS FOR YOU,25/07/2026,1
DAKSHA,23/07/2026,1
KING CARLOS,14/07/2026,2
KING CARLOS,20/07/2026,2
KING CARLOS,21/07/2026,2
KING CARLOS,23/07/2026,1
LOOKING FOR LADOO,17/07/2026,1
LOOKING FOR LADOO,18/07/2026,1
MIRACLE HONEY,14/07/2026,1
OCEAN OF GRACE,21/07/2026,1
OCEAN OF GRACE,22/07/2026,1
STARLIGHT WHISPER,14/07/2026,1
STARLIGHT WHISPER,16/07/2026,1
STARLIGHT WHISPER,17/07/2026,1
STARLIGHT WHISPER,18/07/2026,1
STARLIGHT WHISPER,20/07/2026,1
STARLIGHT WHISPER,21/07/2026,1
STARLIGHT WHISPER,22/07/2026,1
STARLIGHT WHISPER,23/07/2026,1
STARLIGHT WHISPER,24/07/2026,1
STARLIGHT WHISPER,25/07/2026,1
