24 Jul 2026 | MYS | Starlight Whisper (RB ) 1-24 1000/1-08, 800/52, 600/38, Shaped Well. | (-6) | 1200M | Outer Sand
17 Jul 2026 | MYS | Starlight Whisper (Rb), One Way Ticket (Rb ), 58 600/40, Pair Moved Well. | (-2) | 800m | Outer Sand
14 Jul 2026 | MYS | Timoclea (Rb), Starlight Whisper (Rb ), 41 Pair Moved Well. | (-4) | 600m | Outer Sand
27 Jun 2026 | MYS | Starlight Whisper (Rb), Albanny (Rb ), 1-15 800/58, 600/42 Pair Moved Freely. | (Even) | 1000m | Outer Sand
23 Jun 2026 | MYS | Starlight Whisper (C Brisson ) 45 Looks Fit. | (Even) | 600m | Outer Sand
17 Jun 2026 | MYS | River Of Gold (Md Talib), Pearl Of Mysore (Faiz), Mandolin (Laxman Singh), Raise A Sound (Lave Kumar), Azkaban (N Darshan), The Killer (A Mhatre), Starlight Whisper (Jitendra Singh), Azmanah (Ankush ), 1-13.699/600-34.870/1200-600: 38.429 Distance: 3 Lengths, ½ A Length, Long Neck, ½ A Length, 6 Lengths, 2 Lengths & 20 Lengths Separated Them. | (-16) | 1200m | Mock Race
07 Jun 2026 | MYS | Starlight Whisper (Rb ) 1-14 800/59, 600/43, Looks Fit. | (-1) | 1000m | Outer Sand
06 Jun 2026 | MYS | Starlight Whisper (Rb ) 57 600/42, Slightly Extended. | (-3) | 800m | Outer Sand
03 Jun 2026 | MYS | Element (RB), Starlight Whisper (RB ), 1-28 1000/1-09, 800/53, 600/38, Pair Moved Well, Former Finished 3 Lengths Ahead. | (-2) | 1200M | Outer Sand
25 May 2026 | MYS | Star Of Light (Rb), Starlight Whisper (Rb ), 1-09 800/53, 600/38, Former Slightly Extended, Latter Moved Well. | (-6) | 1000m | Outer Sand
21 May 2026 | MYS | Starlight Whisper (Rb ) 45 Improving. | (Even) | 600m | Outer Sand
13 May 2026 | MYS | Starlight Whisper (RB), Timoclea (RB ), 45 Pair Improving | (Even) | 600M | Outer Sand
06 May 2026 | MYS | Starlight Whisper (RB), One Way Ticket (RB ), 43 Pair Looks Fit | (-2) | 600M | Outer Sand
27 Jun 2026 | MYS | Looking For Ladoo (Rb ) 58 600/40 Looks Fit. | (-2) | 800m | Outer Sand
20 Jun 2026 | MYS | Looking For Ladoo (Rb ) 1-11 800/56, 600/41, Slightly Extended. | (-4) | 1000m | Outer Sand
13 Jun 2026 | MYS | Looking For Ladoo (Noorulla ) 40 Fit & Fine | (-5) | 600M | Outer Sand
27 Apr 2026 | MYS | Looking For Ladoo (RB ) 58 600/40, Looks Fit | (-2) | 800M | Outer Sand
05 Jun 2026 | MYS | Ocean Of Grace (Rb ) 1-24 1000/1-08, 800/52, 600/39, Extended. | (+9) | 1000m | Outer Sand
01 Jun 2026 | MYS | Ocean Of Grace (S Imran ) 39 Moved Well. | (-6) | 600m | Outer Sand
25 Jul 2026 | MYS | Kallipos (Jitender Singh ) 1-10 800/54, 600/39, Moved Well. | (-5) | 1000m | Outer Sand
20 Jun 2026 | MYS | Kallipos (Jitendra Singh ) 1-11 800/55, 600/40, Moved Well. | (-4) | 1000m | Outer Sand
14 Jun 2026 | MYS | Kallipos (Rb ) 1-11 800/55, 600/40, Looks Fit. | (-4) | 1000m | Outer Sand
10 Jun 2026 | MYS | Kallipos (Rb ) 54 600/40, Moved Well. | (-6) | 800m | Outer Sand
06 Jun 2026 | MYS | Kallipos (Jitendar Singh ) 1-13 800/55, 600/40, Looks Fit. | (-2) | 1000m | Outer Sand
23 Jul 2026 | MYS | Kallania (Rb ) 43 Handy. | (-2) | 600m | Outer Sand
27 Jun 2026 | MYS | Kallania (B Nikil ) 1-15 800/59, 600/43 Moved Freely. | (Even) | 1000m | Outer Sand
29 May 2026 | MYS | Kallania (RB ) 1-30 1000/1-14, 800/57, 600/40 Looks Fit | (Even) | 1200M | Outer Sand
26 Jul 2026 | MYS | Always For You (Faiz), (), 1-00 600/42, Looks Fit | (Even) | 800M | Outer sand Track Work
24 Jul 2026 | MYS | Always For You (RB ) 56 600/39, Moved Well. | (-4) | 800M | Outer Sand
21 Jul 2026 | MYS | Always For You (RB ) 1-13 800/57, 600/41 Moved Freely | (-2) | 1000M | Outer Sand
13 Jul 2026 | MYS | Always For You (Faiz ) 45 Fit & Fine. | (Even) | 600m | Outer Sand
06 Jul 2026 | MYS | Always For You (Faiz), Brocston (Ayaz Khan ), 1-11 800/55, 600/40, Pair Looks Fit, Former Finished 6 Lengths Ahead. | (-4) | 1000m | Outer Sand
03 Jul 2026 | MYS | Always for You (Faiz), Cloudy Hills (Bharat Mal ), 1-31.79 1200-600: 46.77, 600/45.12 5 lengths separated them. Remarks: Both jumped out well | (+1) | 1200M | Gate Practice
30 Jun 2026 | MYS | Always For You (Faiz ) 42 Fit & Fine. | (-3) | 600m | Outer Sand
21 Jun 2026 | MYS | Always For You (Faiz ) 1-15 800/57, 600/40, Fit & Fine | (Even) | 1000M | Outer Sand
14 Jun 2026 | MYS | Mystic Divine (Rb), Always For You (Faiz ), 1-00 600/43, Former Moved Freely & Finished 2 Lengths Ahead. | (Even) | 800m | Outer Sand
22 May 2026 | MYS | Always For You (Faiz ) 44 Fit & Fine | (-1) | 600M | Outer Sand
19 May 2026 | MYS | Salt N Pepper (RB), Always For You (Faiz ), 42 Pair Looks Fit | (-3) | 600M | Outer Sand
15 May 2026 | MYS | Always For You (Faiz), Born Dancer (Shah Alam ), 1-18.092 43.760, 2.01.852 4 Lengths Separated Them, Remarks: Both Jumped Out Well. | (+18) | 800m | Gate Practice
09 May 2026 | MYS | Always For You (Faiz ) 43 Looks Fit. | (-2) | 600m | Outer Sand
12 Jul 2026 | MYS | Aries Celestial (J Paswan ) 1-12 800/57, 600/42 Moved Freely. | (-3) | 1000m | Outer Sand
19 May 2026 | MYS | Aries Celestial (RB ) 1-12 800/58, 600/44, Moved Well | (-3) | 1000M | Outer Sand
09 May 2026 | MYS | Aries Celestial (Rb) 1-12 800/56, 600/40, Fit & Fine. | (-3) | 1000m | Outer Sand
16 Apr 2026 | MYS | Aries Celestial (Rb ) 1-15 800/59, 600/45, Looks Fit. | (Even) | 1000m | Outer Sand
25 Jul 2026 | MYS | Armament (Rb), Blue Origin (Rb ), 1-27 1000/1-10, 800/54, 600/39, Pair Shaped Well. | (-3) | 1200m | Outer Sand
18 Jul 2026 | MYS | Armament (G R Urs ) 1-24 1000/1-08, 800/53, 600/39, Moved Impressively, Note. | (-6) | 1200m | Outer Sand
03 Jul 2026 | MYS | Armament (A. Mhatre), Miraculous Girl (G. R. Urs ), 1-44.31 1200-600: 54.612, 600/49.70 1/4 of a length separated them. Remarks: Both jumped out well | (+14) | 1200M | Gate Practice
27 Jun 2026 | MYS | Armament (A Mhatre), Nizbati Queen (G R Urs ), 1-29 1000/1.12, 800/55, 600/40 Pair Worked Well. | (-1) | 1200m | Outer Sand
14 Jun 2026 | MYS | Armament (Rb ) 53 600/40, Moved Well. | (-7) | 800m | Outer Sand
23 May 2026 | MYS | Miraculous Girl (Rb), Armament (A Mhatre ), 38 Pair Shaped Well. | (-7) | 600m | Outer Sand
17 May 2026 | MYS | Miraculous Girl (G R Urs), Armament (A Mhatre ), 1-09 800/54, 600/40 Former Moved Well, Latter Extended. | (-6) | 1000m | Outer Sand
09 May 2026 | MYS | Miraculous Girl (G R Urs), Armament (A Mhatre), 1-09 800/54, 600/40, Former Moved Well, Latter Extended. | (-6) | 1000m | Outer Sand
03 May 2026 | MYS | Miraculous Girl (G.R. Urs), Armament (A. Mhatre ), 1-08 800/54, 600/41, Former Moved Well, Latter Extended | (-7) | 1000M | Outer Sand
25 Apr 2026 | MYS | Crazy Love (A. Mhatre), Armament (G.R. Urs ), 55 600/40, Pair Moved Well, Former Finished a Length Ahead | (-5) | 800M | Outer Sand
18 Apr 2026 | MYS | Armament (RB), Mind Games (RB ), 44 Pair Easy | (-1) | 600M | Outer Sand
04 Jul 2026 | MYS | Davids Delight (Noorulla ) 1-12 800/54, 600/38 Slightly Extended. | (-3) | 1000m | Outer Sand
20 Jun 2026 | MYS | Davids Delight (Rb ) 42 Looks Fit. | (-3) | 600m | Outer Sand
13 Jun 2026 | MYS | Davids Delight (RB ) 56 600/40, Extended | (-4) | 800M | Outer Sand
06 Jun 2026 | MYS | Davids Delight (Rb ) 41 Fit & Fine. | (-4) | 600m | Outer Sand
31 May 2026 | MYS | Davids Delight (RB ) 42 Fit & Fine | (-3) | 600M | Outer Sand
09 May 2026 | MYS | Davids Delight (Rb ) 1-00 600/41, Looks Fit. | (Even) | 800m | Outer Sand
02 May 2026 | MYS | Davids Delight (RB ) 1-07 800/53, 600/39, Worked Well | (-8) | 1000M | Outer Sand
25 Apr 2026 | MYS | Davids Delight (RB ) 45 Improving | (Even) | 600M | Outer Sand
23 May 2026 | MYS | Daksha (A Bandaal ) 55 600/41, Looks Fit. | (-5) | 800m | Outer Sand
15 May 2026 | MYS | Article Fifteen (A Bandaal), Daksha (S Mubarak ), 1-14 800/56, 600/40 Pair Moved Freely. | (-1) | 1000m | Outer Sand
04 May 2026 | MYS | Sada (A. Bandaal), Daksha (S. Mubarak ), 1-14 800/56, 600/39, Pair Looks Fit, Former Started 2 Lengths Behind & Finished Together | (-1) | 1000M | Outer Sand
21 Apr 2026 | MYS | Striking Viking (RB), Daksha (RB ), 44 Pair Improving | (-1) | 600M | Outer Sand
25 Jul 2026 | MYS | King Carlos (Rb ) 1-26 1000/1-09, 800/54, 600/39, Extended. | (-4) | 1200m | Outer Sand
03 Jul 2026 | MYS | King Carlos (Ankit Pal), Vardaan (Afsar Khan ), 1-51.23 1200-600: 1-00.03, 600/51.19 3 lengths separated them. Remarks: Both jumped out well. | (+21) | 1200M | Gate Practice
02 Jul 2026 | MYS | King Carlos (Ankit Pal ) 42 Moved Freely. | (-3) | 600m | Outer Sand
21 Jun 2026 | MYS | King Carlos (Ankit Pal ) 56 600/39, Moved Well | (-4) | 800M | Outer Sand
20 Jun 2026 | MYS | King Carlos (Ankit Pal), Gajabo Grande (K Rajesh ), 45 Pair Improving. | (Even) | 600m | Outer Sand
11 Jun 2026 | MYS | King Carlos (Rb), Scout (Rb ), 42 Pair Moved Freely. | (-3) | 600m | Outer Sand
29 May 2026 | MYS | King Carlos (K. Rajesh), Natural Diamond (Ankit Pal ), 1-00 600/43 Pair Easy | (Even) | 800M | Outer Sand
20 May 2026 | MYS | Nevada Gold (RB), King Carlos (RB ), 57 600/40, Pair Un-Extended, Latter to Note | (-3) | 800M | Outer Sand
14 May 2026 | MYS | Natural Diamond (Ankit Pal), King Carlos (K. Rajesh ), 59 600/42, Pair Moved Freely | (-1) | 800M | Outer Sand
06 May 2026 | MYS | King Carlos (RB ) 43 Moved Freely | (-2) | 600M | Outer Sand
03 May 2026 | MYS | Amazing Sultana (RB), King Carlos (RB ), 41 Pair Fit & Fine | (-4) | 600M | Outer Sand
11 Jul 2026 | MYS | Rich Strike (Rb), Miracle Honey (Rb ), 39 Pair Worked Well. | (-6) | 600m | Outer Sand
03 Jul 2026 | MYS | Miracle Honey (RB ) 58 600/42, Moved Freely | (-2) | 800M | Outer Sand
21 Jun 2026 | MYS | Red Hills (Shankar Lal), Miracle Honey (Ayaz Khan ), 38 Pair Moved Well, Former Retains Fine Form | (-7) | 600M | Outer Sand
10 Jun 2026 | MYS | Mark One (N Darshan), Nozomi (Aleemuddin), Coin Empress (Md Talib), Opus One (Jitender Singh), Astrologer (Prabhu Kumar Manji), Miracle Honey (Ankush ), 1-27.134/600-38.327/1400-600: 48.339 Distance: 7 Lengths, 1 Length, 5 Lengths, 5 ¾ Of A Length & 7 Lengths Separated Them. | (-17) | 1400m | Mock Race
