24 Jul 2026 | MYS | Bold Show (RB ) 1-25 1-06, 800/50, 600/36, Moved Impressively, Note. | (-5) | 1200M | Outer Sand
16 Jul 2026 | MYS | Bold Show (Rb ) 54 600/37, Moved Impressively. | (-6) | 800m | Outer Sand
05 Jul 2026 | MYS | Bold Show (Rb ) 36 Strode Out Well. | (-9) | 600m | Outer Sand
13 Jun 2026 | MYS | Bold Show (RB ) 54 600/38, In Fine Shape | (-6) | 800M | Outer Sand
01 Jun 2026 | MYS | Bold Show (Rb ) 1-12 800/55, 600/39, Moved Well. | (-3) | 1000m | Outer Sand
23 May 2026 | MYS | Bold Show (Rb ) 1-09 800/53, 600/38, Shaped Well. | (-6) | 1000m | Outer Sand
19 May 2026 | MYS | Bold Show (RB ) 1-08 800/53, 600/39, Shaped Well | (-7) | 1000M | Outer Sand
10 May 2026 | MYS | Bold Show (Rb ) 1-13 800/57, 600/42, Moved Freely. | (-2) | 1000m | Outer Sand
06 May 2026 | MYS | Bold Show (RB), Loch Lomond (RB ), 45 Pair Fit & Fine, Former Finished a Length Ahead | (Even) | 600M | Outer Sand
27 Jul 2026 | MYS | Excellent Star (Rb), Metzinger (Rb ), 59 600/41, Pair Un-Extended. | (-1) | 800m | Outer Sand
26 Jul 2026 | MYS | Excellent Star (RB), Dufy (RB), (), 42 Pair Moved Freely | (-3) | 600M | Outer sand Track Work
26 Jun 2026 | MYS | Arise And Shine (Rb), Excellent Star (Rb ), 42 Pair Moved Freely. | (-3) | 600m | Outer Sand
21 Jun 2026 | MYS | Excellent Star (RB ) 45 Improving | (Even) | 600M | Outer Sand
18 May 2026 | MYS | Excellent Star (RB ) 45 Easy | (Even) | 600M | Outer Sand
25 Apr 2026 | MYS | Excellent Star (RB ) 44 Easy | (-1) | 600M | Outer Sand
25 Jul 2026 | MYS | Reign Of Terror (Rb ) 1-26 1000/1-12, 800/58, 600/43, Looks Fit. | (-4) | 1200m | Outer Sand
23 Jul 2026 | MYS | Reign Of Terror (Rb ) 1-12 800/58, 600/43, Easy Throughout. | (-3) | 1000m | Outer Sand
17 Jul 2026 | MYS | Reign Of Terror (Rb ) 1-28 1000/1-13, 800/59, 600/44, Looks Fit. | (-2) | 1200m | Outer Sand
09 Jul 2026 | MYS | Reign of Terror (RB ) 1-11 800/57, 600/43 Fit & Fine | (-4) | 1000M | Outer Sand
08 Jul 2026 | MYS | Reign of Terror (RB ) 1-30 1000/1.15, 800/1.00, 600/45, Easy Throughout. | (Even) | 1200M | Outer Sand
23 Jun 2026 | MYS | Reign Of Terror (Rb ) 57 600/42, Un-Extended. | (-3) | 800m | Outer Sand
01 Jun 2026 | MYS | Reign Of Terror (Rb ) 1-27 1000/1-13, 800/58, 600/43, Moved Freely. | (-3) | 1200m | Outer Sand
29 May 2026 | MYS | Reign of Terror (RB ) 1-29 1000/1-15, 800/1-00, 600/45 Easy Throughout | (-1) | 1200M | Outer Sand
18 May 2026 | MYS | Reign of Terror (RB ) 59 600/42, Handy | (-1) | 800M | Outer Sand
06 May 2026 | MYS | Reign of Terror (RB ) 1-10 800/55, 600/40, Moved Well | (-5) | 1000M | Outer Sand
02 May 2026 | MYS | Reign of Terror (RB ) 43 Looks Fit | (-2) | 600M | Outer Sand
27 Jul 2026 | MYS | Time For Victory (Rb ) 43 Fit & Fine. | (-2) | 600m | Outer Sand
11 Jul 2026 | MYS | Time For Victory (Rb), Gleam Bell (Rb ), 57 600/39 Pair Worked Well. | (-3) | 800m | Outer Sand
01 Jul 2026 | MYS | Albinus (Faiz), Iron Clad (A Mhatre), Time For Victory (Ankush), Mysore Pak (M Prabhu Kumar), Marzgovel (Jitendra Singh), Absolute Gold (Vishal Shivhare), Azmanah (Lave Kumar ), 1-26.571/600-337.118/1400-600: 49.166 Distance: Long Neck, 19 ¾ Of A Length, 1 ¾ Of A Length, 1 ¾ Of A Length, 52 ¼ Length & 16 Lengths Separated Them. | (-18) | 1400m | Mock Race
15 Jun 2026 | MYS | Time For Victory (Rb ) 1-13 800/59, 600/45, Easy Thoughout. | (-2) | 1000m | Outer Sand
08 Jun 2026 | MYS | Saro Returned (Rb), Time For Victory (Rb ), 59 600/41, Pair Moved Well, Latter To Note. | (-1) | 800m | Outer Sand
31 May 2026 | MYS | Time For Victory (RB ) 42 Looks Fit | (-3) | 600M | Outer Sand
29 May 2026 | MYS | Time For Victory (RB ) 44 Improving | (-1) | 600M | Outer Sand
28 Apr 2026 | MYS | Time for Victory (RB ) 45 Improving | (Even) | 600M | Outer Sand
18 Apr 2026 | MYS | Time for Victory (RB ) 46 Improving | (+1) | 600M | Outer Sand
27 Jul 2026 | MYS | Habibti (Shah Alam ) 1-14 800/58, 600/43, Moved Freely. | (-1) | 1000m | Outer Sand
26 Jul 2026 | MYS | Habibti (Shah Alam), (), 58 600/39, Ignore Last Run | (-2) | 800M | Outer sand Track Work
06 Jul 2026 | MYS | Habibti (Rb ) 55 600/38, In Fine Shape. | (-5) | 800m | Outer Sand
21 Jun 2026 | MYS | Habibti (RB ) 55 600/38, Retains Form | (-5) | 800M | Outer Sand
20 Jun 2026 | MYS | Habibti (Rb ) 1-29 1000/1-14, 800/56, 600/39, Retains Form. | (-1) | 1200m | Outer Sand
23 May 2026 | MYS | Habibti (Rb ) 57 600/39, Moved Well. | (-3) | 800m | Outer Sand
20 May 2026 | MYS | Habibti (Shah Alam ) 40 Extended | (-5) | 600M | Outer Sand
18 May 2026 | MYS | Persian Rock (RB), Habibti (RB ), 41 Pair Moved Freely | (-4) | 600M | Outer Sand
08 May 2026 | MYS | Habibti (Rb ) 1-14 800/58, 600/42, Looks Fit. | (-1) | 1000m | Outer Sand
27 Apr 2026 | MYS | Habibti (RB ) 1-15 800/59, 600/44, Easy Throughout | (Even) | 1000M | Outer Sand
19 Apr 2026 | MYS | Habibti (RB ) 45 Improving | (Even) | 600M | Outer Sand
08 Jul 2026 | MYS | Andorra (Jitendra Singh), Annalisa (A. Mhatre), Natural Light (Vishal), Enrica (Faiz), Basic Instinct (Ankush), Major Saab (Prabhu Kumar), Sapient (Ritesh Gochhi), David’s Delight (Lave Kumar), Royal Chivalry (Vishwa V), Eiffel Tower (Asirvatham ), 1-28.18 1400-600: 48.73, 600-39.19 Head, 3 ½ lengths, 2 ½ lengths, Long Neck, ½ a length, 1 ½ length, ½ a length, 8 ¾ of a length & 10 lengths separated them. Remarks: All jumped out well, first, second, fifth & sixth names to note. | (-16) | 1400m | Mock Race
03 Jul 2026 | MYS | Royal Chivalry (Bharat Mal ) 42 Looks Fit | (-3) | 600M | Outer Sand
13 Jun 2026 | MYS | Royal Chivalry (RB ) 42 Looks Fit | (-3) | 600M | Outer Sand
10 Jun 2026 | MYS | Royal Chivalry (Rb), Perfect Heart (Rb ), 54 600/38, Pair Worked Well. | (-6) | 800m | Outer Sand
06 Jun 2026 | MYS | Royal Chivalry (Rb ) 1-25 1000/1-07, 800/52, 600/38, Worked Well, Note. | (-5) | 1200m | Outer Sand
27 May 2026 | MYS | Thalaivaa (Koshi Kumar), Stormrider (A. Ashhad Asbar), Smile of Beauty (Prabhu Kumar Manji), Excellent Warrior (S. Imran), Royal Chivalry (C. Brisson), Moonlight Queen (P. Siddaraju), Meadow Flower (Shah Alam), Break Away (G.R. Urs), Crazy Love (A. Mhatre ), 1-27.09 1400-600: 47.571 600/39.921 1 length, 1/2, 10 3/4, 2, 2, Long Neck, 6 1/2 & 8 1/2separated them. Remarks: All jumped out well, first three names to note. | (-17) | 1400M | Mock Race
25 May 2026 | MYS | Royal Chivalry (Rb ) 1-10 800/53, 600/38, Worked Well. | (-5) | 1000m | Outer Sand
18 May 2026 | MYS | Royal Chivalry (RB ) 43 Easy | (-2) | 600M | Outer Sand
09 May 2026 | MYS | Royal Chivalry (Rb ) 45 Improving. | (Even) | 600m | Outer Sand
25 Jul 2026 | MYS | Golden Bird (Noorulla ) 1-12 800/54, 600/38, Moved Well. | (-3) | 1000m | Outer Sand
04 Jul 2026 | MYS | Golden Bird (Noorulla ) 38 Moved Well. | (-7) | 600m | Outer Sand
27 Jun 2026 | MYS | Golden Bird (Noorulla ) 39 Shaped Well. | (-6) | 600m | Outer Sand
19 Jun 2026 | MYS | Isabella (Brijesh Kumar), Golden Bird (Riding Boy ), 1-30.704 600/47.344 1 length separated them, Both jumped out well | (+0) | 1200M | Gate Practice
17 Jun 2026 | MYS | Santorino (A Mhatre), Shibra (N Darshan), Elegant Time (Ankush), Coin Empress (Md Talib), Moonlight Queen (Faiz), Star Of Light (Jitendra Singh), Golden Bird (Laxman Singh), She's So Beautiful (Vishal Shivhare ), 1-25.317/600-36.878/1400-600: 48.700 Distance: 3 Lengths, 2 Lengths, 1 ¼ Length, Head, 1 Length, 1 ¼ Length & 30 Lengths Separated Them. | (-19) | 1400m | Mock Race
13 Jun 2026 | MYS | Golden Bird (RB ) 40 Un-Extended | (-5) | 600M | Outer Sand
06 Jun 2026 | MYS | Golden Bird (Rb ) 45 Improving. | (Even) | 600m | Outer Sand
09 May 2026 | MYS | Golden Bird (Rb ) 42 Fit & Fine. | (-3) | 600m | Outer Sand
25 Apr 2026 | MYS | Golden Bird (RB ) 41.5 Looks Fit | (-3) | 600M | Outer Sand
24 Jul 2026 | MYS | Cloud Jumper (RB ) 40 Moved Well. | (-5) | 600M | Outer Sand
21 Jul 2026 | MYS | Cloud Jumper (RB ) 1-10 800/57, 600/42 Eased Up | (-5) | 1000M | Outer Sand
18 Jul 2026 | MYS | Cloud Jumper (R Shiv Kumar ) 1-06 800/52, 600/39, Moved Well. | (-9) | 1000m | Outer Sand
03 Jul 2026 | MYS | Cloud Jumper (N. Arvind Kumar ) 1-13 800/57, 600/42, Moved Freely | (-2) | 1000M | Outer Sand
13 Jun 2026 | MYS | Cloud Jumper (RB ) 1-10 800/55, 600/39, Moved Well | (-5) | 1000M | Outer Sand
11 Jun 2026 | MYS | Cloud Jumper (Rb ) 45 Fit & Fine. | (Even) | 600m | Outer Sand
31 May 2026 | MYS | Cloud Jumper (RB ) 40 Moved Well | (-5) | 600M | Outer Sand
24 May 2026 | MYS | Cloud Jumper (R. Shiv Kumar ) 1-15 800/56, 600/40, Moved Well | (Even) | 1000M | Outer Sand
20 May 2026 | MYS | Red Falcon (K. Mukesh Kumar), Cloud Jumper (Alex Rozario ), 1-06 800/52, 600/39, Former Moved Attractively & Finished 5 Lengths Ahead | (-9) | 1000M | Outer Sand
15 May 2026 | MYS | Optimism (Jitender Singh), Cloud Jumper (R Shiv Kumar ), 1-08.050 47.529, 1.55.579 ½ A Length Separated Them, Remarks: Both Jumped Out Well. | (+8) | 800m | Gate Practice
11 May 2026 | MYS | Cloud Jumper (R. Shiv Kumar), Nozomi (A. Rozario ), 56 600/41, Pair Moved Freely | (-4) | 800M | Outer Sand
06 May 2026 | MYS | Cloud Jumper (R. Shiv Kumar ) 45 Easy | (Even) | 600M | Outer Sand
25 Apr 2026 | MYS | Cloud Jumper (RB ) 42 Moved Freely | (-3) | 600M | Outer Sand
16 Apr 2026 | MYS | Cloud Jumper (Rb ) 47 Fit & Fine. | (+2) | 600m | Outer Sand
25 Jul 2026 | MYS | Super Stride (Rb), War Emblem (Rb ), 54 600/39, Pair In Fine Shape. | (-6) | 800m | Outer Sand
18 Jul 2026 | MYS | Super Stride (H Rahul ) 1-00 600/42, Looks Fit. | (Even) | 800m | Outer Sand
16 Jul 2026 | MYS | Super Stride (Rb ) 45 Fit & Fine. | (Even) | 600m | Outer Sand
10 Jul 2026 | MYS | Super Stride (H. Rahul ) 54 600/38, Worked Well | (-6) | 800M | Outer Sand
20 Jun 2026 | MYS | Super Stride (Rb), War Emblem (Rb ), 55 600/39, Pair Worked Well. | (-5) | 800m | Outer Sand
07 Jun 2026 | MYS | Super Stride (Rb ) 57 600/40, Ignore Last Run. | (-3) | 800m | Outer Sand
22 May 2026 | MYS | Rise Again (S.F. Ansari), Super Stride (Koshi Kumar ), 1-24.73 1200-600: 44.705 600-Winning Post: 40.026 Distance: Distance separated them. Remarks: Both jumped out well | (-5) | 1200M | Gate Practice
18 May 2026 | MYS | Raffinato (RB), Super Stride (RB ), 1-07 800/51, 600/37, Former Shaped Well & Finished 4 Lengths Ahead, Latter Extended | (-8) | 1000M | Outer Sand
09 May 2026 | MYS | Super Stride (H Rahul), War Emblem (Rb), 1-12 800/55, 600/39, Former Moved Well & Finished 3 Lengths Ahead. | (-3) | 1000m | Outer Sand
02 May 2026 | MYS | Super Stride (RB ) 1-15 800/58, 600/42, Moved Freely. | (Even) | 1000M | Outer Sand
18 Apr 2026 | MYS | Super Stride (H. Rahul ) 47 Fit & Fine | (+2) | 600M | Outer Sand
25 Jul 2026 | MYS | Armament (Rb), Blue Origin (Rb ), 1-27 1000/1-10, 800/54, 600/39, Pair Shaped Well. | (-3) | 1200m | Outer Sand
18 Jul 2026 | MYS | Blue Origin (A Mhatre ) 44 Improving. | (-1) | 600m | Outer Sand
21 May 2026 | MYS | Falcon Fury (Rb), Blue Origin (Rb ), 45 Pair Fit & Fine. | (Even) | 600m | Outer Sand
09 May 2026 | MYS | Falcon Fury (A Mhatre), Blue Origin (G R Urs ), 1-25 1000/1-09, 800/55, 600/41, Pair Moved Well. | (-5) | 1200m | Outer Sand
03 May 2026 | MYS | Mind Games (A. Mhatre), Blue Origin (G.R. Urs ), 1-09 800/55, 600/41, Former Shaped Well, Started 3 Lengths Behind & Finished a Length Ahead, Latter Extended | (-6) | 1000M | Outer Sand
25 Apr 2026 | MYS | Mind Games (A. Mhatre), Blue Origin (G.R. Urs ), 1-11 800/55, 600/40, Pair In Fine Shape | (-4) | 1000M | Outer Sand
18 Apr 2026 | MYS | Blue Origin (RB), Seolfor Bullet (RB ), 45 Pair Improving | (Even) | 600M | Outer Sand
25 Jul 2026 | MYS | Sapient (A Bandaal ) 52 600/37.5, Moved Well. | (-8) | 800m | Outer Sand
18 Jul 2026 | MYS | Sapient (A Bandaal ) 57 600/38, Moved Attractively. | (-3) | 800m | Outer Sand
08 Jul 2026 | MYS | Andorra (Jitendra Singh), Annalisa (A. Mhatre), Natural Light (Vishal), Enrica (Faiz), Basic Instinct (Ankush), Major Saab (Prabhu Kumar), Sapient (Ritesh Gochhi), David’s Delight (Lave Kumar), Royal Chivalry (Vishwa V), Eiffel Tower (Asirvatham ), 1-28.18 1400-600: 48.73, 600-39.19 Head, 3 ½ lengths, 2 ½ lengths, Long Neck, ½ a length, 1 ½ length, ½ a length, 8 ¾ of a length & 10 lengths separated them. Remarks: All jumped out well, first, second, fifth & sixth names to note. | (-16) | 1400m | Mock Race
05 Jul 2026 | MYS | Sapient (A Bandaal ) 55 600/40 Moved Freely. | (-5) | 800m | Outer Sand
26 Jul 2026 | MYS | Sinatra (RB), Straordinario (Faiz), (), 51 600/38, Pair Shaped Well, Former Retains Form | (-9) | 800M | Outer sand Track Work
25 Jul 2026 | MYS | Straordinario (Rb), Sinatra (Rb ), 1-21 1000/1-07, 800/54, 600/41, Pair Eased Up In The Straight, Former Finished 2 Lengths Ahead. | (-9) | 1200m | Outer Sand
06 Jul 2026 | MYS | Sinatra (Rb ) 51 600/37, Moved Fluently. | (-9) | 800m | Outer Sand
20 Jun 2026 | MYS | Chief Admiral (S F Ansari), Sinatra (Koshi Kumar ), 1-23 1000/1-06, 800/51, 600/37, Pair In Fine Shape. | (-7) | 1200m | Outer Sand
17 Jun 2026 | MYS | Sinatra (Rb ) 45 Easy. | (Even) | 600m | Outer Sand
08 Jun 2026 | MYS | Sinatra (Rb), Saintly Star (Rb ), 1-13 800/56, 600/39, Pair Moved Well, Former Finished 5 Lengths Ahead. | (-2) | 1000m | Outer Sand
05 Jun 2026 | MYS | Elsa (M S Deora), Sinatra (Riding Boy ), 1-24.764/600-38.795/1200-600: 45.969 Distance: 4 Lengths Separated Them. | (-5) | 1200m | Gate Practice
29 May 2026 | MYS | Sinatra (Riding Boy), Grace (Darshan Antony ), 1-27.004 600/44.465 4 lengths separated them, Second named planted and lost many lengths, first named (SCP-Off). | (-2) | 1200M | Gate Practice
28 May 2026 | MYS | Sinatra (RB ) 45 Easy | (Even) | 600M | Outer Sand
23 May 2026 | MYS | Sinatra (R N Manji), Sovereign Spirit (Koshi Kumar ), 1-07 800/54, 600/39, Pair Moved Fluently. | (-8) | 1000m | Outer Sand
20 May 2026 | MYS | Sinatra (RB ) 1-29 1000/1-15, 800/1-00, 600/45, Easy Throughout | (-1) | 1200M | Outer Sand
17 May 2026 | MYS | Sinatra (Rb), Sovereign Spirit (Rb ), 1-13 800/54, 600/39 Pair Moved Well, Former Finished 2 Lengths Ahead. | (-2) | 1000m | Outer Sand
13 May 2026 | MYS | Sinatra (Koshi Kumar ) 40 Looks Fit | (-5) | 600M | Outer Sand
