25 Jul 2026 | MYS | Natural One (Ankit Pal ) 1-25 1000/1-07, 800/53, 600/37, Worked Well. | (-5) | 1200m | Outer Sand
28 Jun 2026 | MYS | Natural One (Ankit Pal ) 54 600/38, Moved Fluently, Note | (-6) | 800M | Outer Sand
27 Jun 2026 | MYS | Natural One (Ankit Pal ) 44 Handy. | (-1) | 600m | Outer Sand
24 May 2026 | MYS | Natural One (Ankit Pal ) 1-11 800/54, 600/38, Extended | (-4) | 1000M | Outer Sand
09 May 2026 | MYS | Natural One (Ankit Pal) 53 600/39, Slightly Extended. | (-7) | 800m | Outer Sand
25 Apr 2026 | MYS | Natural Queen (RB), Natural One (RB ), 56 600/40, Pair Moved Well | (-4) | 800M | Outer Sand
18 Apr 2026 | MYS | Natural One (RB ) 40 Moved Freely | (-5) | 600M | Outer Sand
24 Jul 2026 | MYS | Star of Light (RB ) 1-07 800/51, 600/37, Moved Impressively. | (-8) | 1000M | Outer Sand
21 Jul 2026 | MYS | Star of Light (RB ) 43 Un-Extended | (-2) | 600M | Outer Sand
18 Jul 2026 | MYS | Star Of Light (C Brisson ) 1-28 1000/1-13, 800/59, 600/44, Moved Freely. | (-2) | 1200m | Outer Sand
17 Jun 2026 | MYS | Santorino (A Mhatre), Shibra (N Darshan), Elegant Time (Ankush), Coin Empress (Md Talib), Moonlight Queen (Faiz), Star Of Light (Jitendra Singh), Golden Bird (Laxman Singh), She's So Beautiful (Vishal Shivhare ), 1-25.317/600-36.878/1400-600: 48.700 Distance: 3 Lengths, 2 Lengths, 1 ¼ Length, Head, 1 Length, 1 ¼ Length & 30 Lengths Separated Them. | (-19) | 1400m | Mock Race
05 Jun 2026 | MYS | Blazing Star (C Brisson), Star Of Light (B Nikhil ), 1-26.305/600-42.894/1200-600: 43.411 Distance: 3 Lengths Separated Them. | (-3) | 1200m | Gate Practice
03 Jun 2026 | MYS | Star of Light (RB), Blazing Star (RB ), 1-27 1000/1-09, 800/52, 600/37, Pair Worked Well. | (-3) | 1200M | Outer Sand
31 May 2026 | MYS | Star of Light (RB ) 45 Fit & Fine | (Even) | 600M | Outer Sand
25 May 2026 | MYS | Star Of Light (Rb), Starlight Whisper (Rb ), 1-09 800/53, 600/38, Former Slightly Extended, Latter Moved Well. | (-6) | 1000m | Outer Sand
19 May 2026 | MYS | Star of Light (RB), One Way Ticket (RB ), 57 600/41, Pair Moved Freely | (-3) | 800M | Outer Sand
16 Apr 2026 | MYS | Star Of Light (Rb ) 48 Improving. | (+3) | 600m | Outer Sand
26 Jul 2026 | MYS | Gajabo Grande (RB), Amazing Arise (RB ), 1-57 1400/1-40, 1200/1-24, 1000/1-09, 800/54, 600/40 Pair Moved Well, Former Finished 2 Lengths Ahead & to Note | (-3) | 1600M | Outer sand Track Work
23 Jul 2026 | MYS | Amazing Arise (Ankit Pal ) 38 Moved Well. | (-7) | 600m | Outer Sand
