25 Jul 2026 | MYS | Tom Cruiser (Noorulla ) 54 600/36.5, Extended. | (-6) | 800m | Outer Sand
18 Jul 2026 | MYS | Tom Cruiser (Noorulla ) 1-12 800/54, 600/37, Moved Well. | (-3) | 1000m | Outer Sand
11 Jul 2026 | MYS | Tom Cruiser (Noorulla ) 55 600/37.5 Slightly Extended. | (-5) | 800m | Outer Sand
27 Jun 2026 | MYS | Tom Cruiser (Noorulla ) 1-14 800/55, 600/38 Moved Well. | (-1) | 1000m | Outer Sand
20 Jun 2026 | MYS | Tom Cruiser (Noorulla ) 36 Moved Well. | (-9) | 600m | Outer Sand
06 Jun 2026 | MYS | Tom Cruiser (Noorulla ) 38 Moved Well. | (-7) | 600m | Outer Sand
31 May 2026 | MYS | Tom Cruiser (RB ) 39 Moved Well | (-6) | 600M | Outer Sand
23 May 2026 | MYS | Tom Cruiser (Noorulla ) 56 600/39, Moved Well. | (-4) | 800m | Outer Sand
09 May 2026 | MYS | Tom Cruiser (Rb ) 58 600/40, Moved Well. | (-2) | 800m | Outer Sand
02 May 2026 | MYS | Tom Cruiser (RB ) 38 Shaped Well | (-7) | 600M | Outer Sand
25 Apr 2026 | MYS | Tom Cruiser (Noorulla ) 59 600/41, Improving | (-1) | 800M | Outer Sand
26 Jul 2026 | BAN | Echoes Of Time (Md Ashraf Reza ) 1-9 600 In 43 Stretched In The Last Part. | (-6) | 1000m | Outer Sand
18 Jul 2026 | BAN | Echoes Of Time (Bhawani Singh ) 1-45.5 1400 To 600 In 57 Easedup. | (+0) | 1400m | Outer Sand
06 Jul 2026 | BAN | Echoes Of Time (A Sandesh ) 1-19 1000 In 1-6 600 In 38.5 Stretched Out Well. | (-11) | 1200m | Outer Grass
30 Jun 2026 | BAN | Echoes Of Time (Neeraj Rawal), Star Comet (Bhawani Singh ), 1-23.5 1200 To 600 In 40 They Jumped Out Well. | (-6) | 1200m | Gate Practice
23 Jun 2026 | BAN | Echoes Of Time (Bhawani Singh ) 1-30 1000 In 1-14 600 In 44 Stretched. | (Even) | 1200m | Outer Sand
26 Jul 2026 | MYS | Crown Drive (RB), Chief Admiral (S.F. Ansari), (), 1-05 800/50, 600/36, Pair Moved Fluently & to Note | (-10) | 1000M | Outer sand Track Work
25 Jul 2026 | MYS | Crown Drive (Rb ) 45 Looks Fit. | (Even) | 600m | Outer Sand
20 Jul 2026 | MYS | Crown Drive (Rb ) 1-05 800/50, 600/36, Strode Out Well. | (-10) | 1000m | Outer Sand
19 Jul 2026 | MYS | Crown Drive (RB ) 1-00 600/44 Easy Throughout | (Even) | 800M | Outer Sand
08 Jul 2026 | BAN | Crown Drive (Neeraj Rawal ) 1-12.5 600 In 43 Moved Well. | (-2) | 1000m | Outer Sand
05 Jul 2026 | BAN | Crown Drive (Rb ) 44 Moved Well. | (-1) | 600m | Outer Sand
24 Jun 2026 | BAN | Crown Drive (Hindu Singh ) 1-14 600/41 Ignore Last Run. | (-1) | 1000m | Outer Sand
20 Jun 2026 | MYS | Crown Drive (Rb ) 38 Moved Fluently. | (-7) | 600m | Outer Sand
07 Jun 2026 | MYS | Crown Drive (M S Deora), Chief Admiral (S F Ansari ), 1-17 1000/1-04, 800/51, 600/38, Former Strode Out Impressively & Finished 3 Lengths Ahead. | (-13) | 1200m | Outer Sand
04 Jun 2026 | MYS | Crown Drive (Rb ) 44 Looks Fit. | (-1) | 600m | Outer Sand
02 Jun 2026 | MYS | Crown Drive (Rb ) 44 Handy. | (-1) | 600m | Outer Sand
20 May 2026 | MYS | Crown Drive (S.F. Ansari), Straordinario (Koshi Kumar ), 1-26 1000/1-05, 800/50, 600/36, Former Strode Out well & Finished 4 Lengths Ahead & To Note | (-4) | 1200M | Outer Sand
15 May 2026 | MYS | Crown Drive (S F Ansari), Straordinario (Koshi Kumar ), 1-06.304 42.650, 1.48.954 Distance Separated Them, Remarks: Both Jumped Out Well. | (+6) | 800m | Gate Practice
14 May 2026 | MYS | Crown Drive (RB ) 44 Easy | (-1) | 600M | Outer Sand
10 May 2026 | MYS | Chief Admiral (S F Ansari), Crown Drive (Rb ), 1-04 800/52, 600/38, Pair In Fine Shape. | (-11) | 1000m | Outer Sand
08 May 2026 | MYS | Crown Drive (Rb ) 43 Moved Freely. | (-2) | 600m | Outer Sand
03 May 2026 | MYS | Crown Drive (RB ) 1-11 800/54, 600/39, Worked Well | (-4) | 1000M | Outer Sand
02 May 2026 | MYS | Crown Drive (RB ) 44 Easy | (-1) | 600M | Outer Sand
26 Apr 2026 | MYS | Crown Drive (RB ) 58 600/42, Looks Fit | (-2) | 800M | Outer Sand
27 Jul 2026 | MYS | Seeking Alpha (Rb ) 1-20 1000/1-06, 800/53, 600/39, In Fine Shape. | (-10) | 1200m | Outer Sand
24 Jul 2026 | MYS | Seeking Alpha (RB ) 1-14 800/58, 600/42, Un-Extended, Note. | (-1) | 1000M | Outer Sand
19 Jul 2026 | MYS | Seeking Alpha (RB ) 1-19 1000/1.05, 800/51, 600/38, In Rousing Form | (-11) | 1200M | Outer Sand
18 Jul 2026 | MYS | Seeking Alpha (Rb ) 44 In Fine Shape. | (-1) | 600m | Outer Sand
11 Jul 2026 | MYS | Seeking Alpha (H Rahul ) 1-36 1200/1-20, 1000/1-05, 800/51, 600/37 In Excellent Form. | (-9) | 1400m | Outer Sand
04 Jul 2026 | MYS | Seeking Alpha (Rb ) 58 600/39 Retains Excellent Form. | (-2) | 800m | Outer Sand
26 Jun 2026 | MYS | Seeking Alpha (Rb ) 1-55 1400/1-40, 1200/1-22, 1000/1-08, 800/54, 600/40, Retains Excellent Form, Note. | (-5) | 1600m | Outer Sand
25 Jun 2026 | MYS | Seeking Alpha (Rb ) 58 600/41, Retains Fine Form. | (-2) | 800m | Outer Sand
14 Jun 2026 | MYS | Seeking Alpha (Rb ) 1-26 1000/1-08, 800/53, 600/39, Moved Impressively, Note. | (-4) | 1200m | Outer Sand
29 May 2026 | MYS | Seeking Alpha (RB ) 1-29 1000/1-10, 800/55, 600/40 Moved Impressively | (-1) | 1200M | Outer Sand
28 May 2026 | MYS | Seeking Alpha (RB ) 45 Handy | (Even) | 600M | Outer Sand
24 May 2026 | MYS | Seeking Alpha (RB ) 1-00 600/40, Un-Extended | (Even) | 800M | Outer Sand
17 May 2026 | MYS | Seeking Alpha (Rb ) 39 Moved Well. | (-6) | 600m | Outer Sand
25 Apr 2026 | MYS | Seeking Alpha (RB ) 1-45 1200/1-27, 1000/1-11, 800/57, 600/38, Slightly Extended | (Even) | 1400M | Outer Sand
26 Jul 2026 | BAN | Efficacy (Shreyas Singh ) 1-39.5 1200 In 1-25 1000 In 1-11.5 600 In 42.5 Worked Well. | (-5) | 1400m | Outer Sand
15 Jul 2026 | BAN | Efficacy (Shreyas Singh ) 1-27.5 1000 In 1-12.5 600 In 43.5 Well In Hand. | (-2) | 1200m | Outer Sand
24 Jun 2026 | BAN | Efficacy (Shreyas Singh ) 1-41.5 1200/1-26.5 1000/1-12 600/43.5 Imprssed. | (-3) | 1400m | Outer Sand
09 Jun 2026 | BAN | Efficacy (Shreyas Singh ) 1-23 1000 In 1-10 600 In 43 Impressed. | (-7) | 1200m | Outer Sand
23 May 2026 | BAN | Efficacy (Shreyas Singh ) 1-23 1000 In 1-9.5 600 In 41.5 Good. | (-7) | 1200m | Outer Sand
02 May 2026 | BAN | Efficacy (Shreyas Singh ) 1-24 1000 In 1-9 600 In 41.5 Good. | (-6) | 1200m | Outer Sand
23 Apr 2026 | BAN | Efficacy (P Trevor ) 1-42 1200/1-25.5 1000/1-11 600/43 Worked Well. | (-3) | 1400m | Outer Sand
15 Apr 2026 | BAN | Efficacy (Shreyas S ) 1-42 1200/1-27 1000/1-12 600/44 Moved well. | (-3) | 1400M | Outer Sand
08 Apr 2026 | BAN | Efficacy (Shreyas S ) 1-28 1000/1-13 600/44 Moved Well. | (-2) | 1200m | Outer Sand
24 Jul 2026 | BAN | Prokofiev (Chethan Kalay ) 1-27.5 1000 In 1-11.5 600 In 41 Worked Well. | (-2) | 1200m | Outer Sand
17 Jun 2026 | BAN | Prokofiev (Vishal Bunde ) 1-8 600 In 42 Speedy. | (-7) | 1000m | Outer Sand
