27 Jul 2026 | MYS | Gold Kite (Rb ) 44 Looks Fit. | (-1) | 600m | Outer Sand
25 Jul 2026 | MYS | Gold Kite (Darshan Antony ) 58 600/42, Moved Freely. | (-2) | 800m | Outer Sand
27 Jun 2026 | MYS | Gold Kite (Darshan Antony ) 1-28 1000/1.08, 800/52, 600/38 Retains Excellent Form. | (-2) | 1200m | Outer Sand
06 Jun 2026 | MYS | Gold Kite (Rb ) 1-07 800/51, 600/37, Moved Impressively. | (-8) | 1000m | Outer Sand
29 May 2026 | MYS | Gold Kite (RB ) 56 600/40 Moved Well | (-4) | 800M | Outer Sand
14 May 2026 | MYS | Gold Kite (RB ) 38 Moved Well | (-7) | 600M | Outer Sand
08 May 2026 | MYS | Gold Kite (Rb ) 38 Worked Well. | (-7) | 600m | Outer Sand
02 May 2026 | MYS | Gold Kite (RB ) 41 Moved Well | (-4) | 600M | Outer Sand
23 Apr 2026 | MYS | Gold Kite (Rb ) 45 Improving. | (Even) | 600m | Outer Sand
18 Jul 2026 | MYS | Vandhiyathevan (Darshan Antony ) 1-08 800/53, 600/39, Moved Well. | (-7) | 1000m | Outer Sand
14 Jul 2026 | MYS | Vandhiyathevan (C Brisson ) 1-10 800/54, 600/39, Moved Well. | (-5) | 1000m | Outer Sand
27 Jun 2026 | MYS | Vandhiyathevan (Rb ) 55 600/39 Retains Fine Form. | (-5) | 800m | Outer Sand
26 May 2026 | MYS | Vandhiyathevan (RB ) 55 600/40, Un-Extended | (-5) | 800M | Outer Sand
22 May 2026 | MYS | Vandhiyathevan (RB ) 53 600/39, Worked Well, Note | (-7) | 800M | Outer Sand
17 May 2026 | MYS | Vandhiyathevan (Rb ) 1-40 1200/1-27, 1000/1-12, 800/59, 600/44 Extended. | (-5) | 1400m | Outer Sand
08 May 2026 | MYS | Silver Quest (Rb), Vandhiyathevan (Rb ), 39 Pair Moved Well. | (-6) | 600m | Outer Sand
28 Apr 2026 | MYS | Vandhiyathevan (Faiz ) 59 600/43, Moved Freely | (-1) | 800M | Outer Sand
25 Jul 2026 | MYS | Constant Variable (H Rahul ) 1-12 800/54, 600/38, Moved Impressively. | (-3) | 1000m | Outer Sand
18 Jul 2026 | MYS | Constant Variable (H Rahul ) 1-21 1000/1-07, 800/54, 600/40, Moved Impressively. | (-9) | 1200m | Outer Sand
14 Jul 2026 | MYS | Constant Variable (Rb ) 1-12 800/54, 600/39, Worked Well. | (-3) | 1000m | Outer Sand
20 Jun 2026 | MYS | Constant Variable (Rb ) 1-07 800/51, 600/37, Moved Attractively, Note. | (-8) | 1000m | Outer Sand
13 Jun 2026 | MYS | Constant Variable (H. Rahul ) 59 600/42, Moved Freely | (-1) | 800M | Outer Sand
